Gene_ID,Transcript_ID,Selection_Reason,Total_Length,CDS_Length,5UTR_Length,3UTR_Length,UTR_pair_Length,Status
ENSMUSG00000037447,ENSMUST00000115032.8,appris_principal_2,4640,1773,79,2788,2874,Success
ENSMUSG00000001143,ENSMUST00000125304.8,appris_principal_1,3378,1044,38,2296,2341,Success
ENSMUSG00000037408,ENSMUST00000153128.2,appris_principal_1,4547,2316,73,2158,2238,Success
ENSMUSG00000026121,ENSMUST00000191677.6,appris_principal_1,3779,2505,374,900,1281,Success
ENSMUSG00000037351,ENSMUST00000043951.10,appris_principal_1,3248,1131,155,1962,2124,Success
ENSMUSG00000026116,ENSMUST00000027290.12,appris_principal_1,6546,5634,182,730,919,Success
ENSMUSG00000026113,ENSMUST00000027287.11,appris_principal_3,5691,2820,394,2477,2878,Success
ENSMUSG00000026112,ENSMUST00000027286.7,appris_principal_1,3863,225,136,3502,3645,Success
ENSMUSG00000026111,ENSMUST00000114925.10,appris_principal_1,1094,780,148,166,321,Success
ENSMUSG00000026110,ENSMUST00000042161.15,appris_principal_1,7030,1608,103,5319,5429,Success
ENSMUSG00000026088,ENSMUST00000139725.8,appris_principal_1,1175,750,97,328,432,Success
ENSMUSG00000026083,ENSMUST00000027252.8,appris_principal_1,7797,3651,280,3866,4153,Success
ENSMUSG00000026082,ENSMUST00000027251.12,appris_principal_1,4262,3750,211,301,519,Success
ENSMUSG00000037138,ENSMUST00000238906.2,Ensembl_canonical,5948,3765,60,2123,2190,Success
ENSMUSG00000026080,ENSMUST00000027249.13,appris_principal_1,2975,1071,273,1631,1911,Success
ENSMUSG00000073702,ENSMUST00000086535.12,appris_principal_1,1049,378,93,578,678,Success
ENSMUSG00000003135,ENSMUST00000161515.8,appris_principal_1,3482,1518,341,1623,1971,Success
ENSMUSG00000026072,ENSMUST00000027241.11,Ensembl_canonical,5819,1731,224,3864,4095,Success
ENSMUSG00000041945,ENSMUST00000039672.6,appris_principal_1,3160,1401,44,1715,1766,Success
ENSMUSG00000070939,ENSMUST00000095014.8,appris_principal_1,5607,2583,565,2459,3031,Success
ENSMUSG00000010290,ENSMUST00000010434.8,appris_principal_1,3458,699,54,2705,2766,Success
ENSMUSG00000008136,ENSMUST00000008280.14,appris_principal_1,1563,840,283,440,730,Success
ENSMUSG00000066877,ENSMUST00000086421.9,appris_principal_1,2772,1143,456,1173,1636,Success
ENSMUSG00000057363,ENSMUST00000126008.8,appris_principal_1,4620,1263,92,3265,3364,Success
ENSMUSG00000041763,ENSMUST00000188313.7,appris_principal_3,4631,3750,74,807,888,Success
ENSMUSG00000026049,ENSMUST00000027215.12,appris_principal_1,1272,678,317,277,601,Success
ENSMUSG00000026047,ENSMUST00000065767.9,appris_principal_1,2359,1509,309,541,857,Success
ENSMUSG00000056870,ENSMUST00000074525.10,appris_principal_1,3138,915,406,1817,2230,Success
ENSMUSG00000026043,ENSMUST00000087883.13,appris_principal_1,5564,4395,210,959,1176,Success
ENSMUSG00000026042,ENSMUST00000086430.5,appris_principal_1,6625,4494,368,1763,2138,Success
ENSMUSG00000025993,ENSMUST00000027137.11,appris_principal_1,3370,1713,319,1338,1664,Success
ENSMUSG00000025986,ENSMUST00000027131.6,appris_principal_1,5498,2502,587,2409,3003,Success
ENSMUSG00000026107,ENSMUST00000027279.12,appris_principal_1,2838,597,484,1757,2248,Success
ENSMUSG00000018417,ENSMUST00000018561.14,Ensembl_canonical,4767,3411,177,1179,1363,Success
ENSMUSG00000026104,ENSMUST00000070968.14,appris_principal_1,5151,2250,333,2568,2908,Success
ENSMUSG00000026103,ENSMUST00000114513.9,appris_principal_1,4966,2025,231,2710,2948,Success
ENSMUSG00000002881,ENSMUST00000069792.14,appris_principal_3,3874,1461,489,1924,2420,Success
ENSMUSG00000043015,ENSMUST00000165859.8,appris_principal_1,3396,1266,55,2075,2137,Success
ENSMUSG00000041439,ENSMUST00000156876.8,appris_principal_2,4932,2385,491,2056,2554,Success
ENSMUSG00000026102,ENSMUST00000027271.9,appris_principal_1,5767,1191,335,4241,4583,Success
ENSMUSG00000026097,ENSMUST00000027266.4,appris_principal_1,1910,462,101,1347,1455,Success
ENSMUSG00000026094,ENSMUST00000027263.14,appris_principal_1,3293,1119,192,1982,2181,Success
ENSMUSG00000042807,ENSMUST00000120904.8,appris_principal_1,11263,4737,180,6346,6533,Success
ENSMUSG00000041303,ENSMUST00000041638.8,appris_principal_1,4582,2649,57,1876,1940,Success
ENSMUSG00000073678,ENSMUST00000097739.5,appris_principal_1,10583,2769,102,7712,7821,Success
ENSMUSG00000052331,ENSMUST00000179030.8,appris_principal_1,6140,2982,221,2937,3165,Success
ENSMUSG00000025982,ENSMUST00000027127.14,appris_principal_1,6195,3915,115,2165,2287,Success
ENSMUSG00000025981,ENSMUST00000027125.7,appris_principal_1,1733,729,105,899,1011,Success
ENSMUSG00000025980,ENSMUST00000027123.15,appris_principal_1,2423,1722,248,453,708,Success
ENSMUSG00000073676,ENSMUST00000075242.7,appris_principal_1,774,309,278,187,472,Success
ENSMUSG00000025979,ENSMUST00000162364.8,appris_principal_1,2840,678,69,2093,2169,Success
ENSMUSG00000046994,ENSMUST00000061334.10,appris_principal_1,11294,1761,63,9470,9540,Success
ENSMUSG00000038331,ENSMUST00000114415.10,appris_principal_1,5805,2202,806,2797,3610,Success
ENSMUSG00000048495,ENSMUST00000162686.8,appris_principal_1,1847,948,640,259,906,Success
ENSMUSG00000025971,ENSMUST00000027114.6,appris_principal_1,3540,876,445,2219,2671,Success
ENSMUSG00000038305,ENSMUST00000170139.8,appris_principal_1,2315,1674,139,502,648,Success
ENSMUSG00000054770,ENSMUST00000114410.10,appris_principal_1,2512,1290,142,1080,1229,Success
ENSMUSG00000051223,ENSMUST00000050552.15,appris_principal_1,3876,1260,329,2287,2623,Success
ENSMUSG00000026034,ENSMUST00000034868.14,appris_principal_1,1796,1452,147,197,351,Success
ENSMUSG00000026035,ENSMUST00000117069.8,appris_principal_1,1363,486,667,210,884,Success
ENSMUSG00000026037,ENSMUST00000027198.12,appris_principal_1,3561,1731,397,1433,1837,Success
ENSMUSG00000038174,ENSMUST00000097724.10,appris_principal_3,4581,1761,183,2637,2827,Success
ENSMUSG00000026028,ENSMUST00000027186.12,appris_principal_1,6189,2742,392,3055,3454,Success
ENSMUSG00000026027,ENSMUST00000027185.11,appris_principal_1,2960,1257,424,1279,1710,Success
ENSMUSG00000026024,ENSMUST00000027178.13,appris_principal_1,6342,4956,135,1251,1393,Success
ENSMUSG00000041075,ENSMUST00000114246.4,appris_principal_1,4532,1719,536,2277,2820,Success
ENSMUSG00000026021,ENSMUST00000091374.9,appris_principal_1,1215,306,143,766,916,Success
ENSMUSG00000026020,ENSMUST00000191142.7,appris_principal_1,9507,1611,173,7723,7903,Success
ENSMUSG00000041040,ENSMUST00000036540.12,appris_principal_1,5532,1755,158,3619,3784,Success
ENSMUSG00000049439,ENSMUST00000060608.13,appris_principal_1,2223,1389,63,771,841,Success
ENSMUSG00000052062,ENSMUST00000075374.10,appris_principal_1,8392,3612,419,4361,4787,Success
ENSMUSG00000025969,ENSMUST00000114157.3,Ensembl_canonical,6357,2796,503,3058,3568,Success
ENSMUSG00000025964,ENSMUST00000087374.10,Ensembl_canonical,6426,2490,316,3620,3943,Success
ENSMUSG00000025962,ENSMUST00000027103.7,appris_principal_1,4486,2070,165,2251,2423,Success
ENSMUSG00000025959,ENSMUST00000114086.8,appris_principal_1,7662,906,490,6266,6763,Success
ENSMUSG00000025958,ENSMUST00000185594.7,appris_principal_1,1569,984,268,317,592,Success
ENSMUSG00000025956,ENSMUST00000114079.9,appris_principal_1,2030,657,106,1267,1380,Success
ENSMUSG00000070871,ENSMUST00000187170.7,appris_principal_2,1506,876,323,307,637,Success
ENSMUSG00000045005,ENSMUST00000063982.7,appris_principal_1,6915,1758,872,4285,5164,Success
ENSMUSG00000051344,ENSMUST00000097713.2,appris_principal_1,8562,2286,360,5916,6283,Success
ENSMUSG00000025950,ENSMUST00000097709.11,appris_principal_1,2302,1245,208,849,1064,Success
ENSMUSG00000025949,ENSMUST00000081154.14,appris_principal_1,11237,6159,141,4937,5085,Success
ENSMUSG00000015222,ENSMUST00000114017.8,appris_principal_1,4981,1497,463,3021,3491,Success
ENSMUSG00000026005,ENSMUST00000027157.10,appris_principal_1,2692,687,76,1929,2012,Success
ENSMUSG00000026004,ENSMUST00000068168.10,appris_principal_1,4459,2844,202,1413,1622,Success
ENSMUSG00000026000,ENSMUST00000027149.12,appris_principal_1,4270,1200,106,2964,3077,Success
ENSMUSG00000025997,ENSMUST00000190771.7,Ensembl_canonical,2483,1599,153,731,891,Success
ENSMUSG00000026196,ENSMUST00000027393.8,appris_principal_1,5659,2298,339,3022,3368,Success
ENSMUSG00000026192,ENSMUST00000027384.6,appris_principal_1,2845,1779,106,960,1073,Success
ENSMUSG00000026193,ENSMUST00000055226.13,appris_principal_1,8315,7434,193,688,888,Success
ENSMUSG00000026189,ENSMUST00000027381.13,appris_principal_1,1186,912,98,176,281,Success
ENSMUSG00000026187,ENSMUST00000027379.10,appris_principal_1,2549,2199,120,230,357,Success
ENSMUSG00000039354,ENSMUST00000047615.15,appris_principal_1,3059,2733,246,80,333,Success
ENSMUSG00000046330,ENSMUST00000059980.11,appris_principal_1,558,279,31,248,286,Success
ENSMUSG00000026185,ENSMUST00000027377.9,appris_principal_1,6006,816,745,4445,5197,Success
ENSMUSG00000006304,ENSMUST00000113820.9,appris_principal_1,1439,903,122,414,543,Success
ENSMUSG00000006299,ENSMUST00000178235.8,Ensembl_canonical,1756,1311,57,388,452,Success
ENSMUSG00000026179,ENSMUST00000087226.11,appris_principal_1,3054,1275,16,1763,1786,Short_or_Missing_UTRs
ENSMUSG00000006301,ENSMUST00000016309.16,appris_principal_1,2378,930,323,1125,1455,Success
ENSMUSG00000026176,ENSMUST00000027367.14,appris_principal_1,2876,786,389,1701,2097,Success
ENSMUSG00000033364,ENSMUST00000189257.7,appris_principal_1,4974,2940,373,1661,2041,Success
ENSMUSG00000026174,ENSMUST00000087215.7,appris_principal_1,3268,900,380,1988,2375,Success
ENSMUSG00000026135,ENSMUST00000027315.14,appris_principal_1,6480,5532,496,452,955,Success
ENSMUSG00000026172,ENSMUST00000113733.10,appris_principal_1,1488,1257,178,53,238,Success
ENSMUSG00000026171,ENSMUST00000113721.8,appris_principal_3,1451,1368,12,71,90,Short_or_Missing_UTRs
ENSMUSG00000033257,ENSMUST00000042125.15,appris_principal_1,10019,3582,406,6031,6444,Success
ENSMUSG00000033159,ENSMUST00000168720.8,appris_principal_1,3669,1224,600,1845,2452,Success
ENSMUSG00000049339,ENSMUST00000097694.11,appris_principal_2,2561,1626,77,858,942,Success
ENSMUSG00000026197,ENSMUST00000160439.8,appris_principal_1,1206,774,83,349,439,Success
ENSMUSG00000026198,ENSMUST00000027396.15,appris_principal_1,2966,2529,274,163,444,Success
ENSMUSG00000033124,ENSMUST00000189702.7,appris_principal_1,4110,2520,524,1066,1597,Success
ENSMUSG00000026199,ENSMUST00000152233.9,appris_principal_1,2739,2247,292,200,499,Success
ENSMUSG00000026200,ENSMUST00000113623.8,appris_principal_1,2339,1941,251,147,405,Success
ENSMUSG00000026201,ENSMUST00000027401.11,appris_principal_1,2876,918,304,1654,1965,Success
ENSMUSG00000026202,ENSMUST00000186213.7,appris_principal_1,2840,1347,99,1394,1500,Success
ENSMUSG00000026203,ENSMUST00000082158.13,appris_principal_1,1253,834,419,0,0,Short_or_Missing_UTRs
ENSMUSG00000026209,ENSMUST00000066668.14,appris_principal_1,2488,1422,303,763,1073,Success
ENSMUSG00000033021,ENSMUST00000037796.14,appris_principal_1,1539,1263,103,173,283,Success
ENSMUSG00000032997,ENSMUST00000079205.14,appris_principal_1,2892,2325,166,401,574,Success
ENSMUSG00000026213,ENSMUST00000027414.16,appris_principal_1,4458,3219,139,1100,1246,Success
ENSMUSG00000006576,ENSMUST00000124341.8,appris_principal_1,7182,3684,216,3282,3505,Success
ENSMUSG00000026235,ENSMUST00000027451.13,appris_principal_1,6328,2961,57,3310,3374,Success
ENSMUSG00000032883,ENSMUST00000035779.15,appris_principal_1,3950,2163,459,1328,1794,Success
ENSMUSG00000026249,ENSMUST00000027467.11,appris_principal_1,2210,1194,208,808,1023,Success
ENSMUSG00000004364,ENSMUST00000163119.8,appris_principal_1,4709,2307,169,2233,2409,Success
ENSMUSG00000055980,ENSMUST00000069799.3,appris_principal_1,9144,3696,923,4525,5455,Success
ENSMUSG00000026142,ENSMUST00000027322.14,appris_principal_1,3636,948,276,2412,2695,Success
ENSMUSG00000026150,ENSMUST00000162003.8,appris_principal_1,2087,1029,380,678,1065,Success
ENSMUSG00000026159,ENSMUST00000186302.7,Ensembl_canonical,2352,1686,49,617,673,Success
ENSMUSG00000026219,ENSMUST00000027421.13,appris_principal_1,9632,6078,125,3429,3561,Success
ENSMUSG00000070034,ENSMUST00000093508.7,appris_principal_1,1921,1338,190,393,590,Success
ENSMUSG00000036707,ENSMUST00000113360.8,appris_principal_1,3805,1026,424,2355,2786,Success
ENSMUSG00000026223,ENSMUST00000027425.16,appris_principal_1,2230,810,383,1037,1427,Success
ENSMUSG00000026229,ENSMUST00000027432.9,appris_principal_1,3112,2862,171,79,257,Success
ENSMUSG00000026234,ENSMUST00000027438.8,appris_principal_1,8202,2124,177,5901,6085,Success
ENSMUSG00000026238,ENSMUST00000045897.15,appris_principal_1,1216,336,180,700,887,Success
ENSMUSG00000026240,ENSMUST00000121534.8,appris_principal_1,5383,795,429,4159,4595,Success
ENSMUSG00000053333,ENSMUST00000065694.8,appris_principal_2,3085,2613,125,347,479,Success
ENSMUSG00000026254,ENSMUST00000113235.8,appris_principal_3,3473,711,86,2676,2769,Success
ENSMUSG00000026255,ENSMUST00000027472.7,appris_principal_1,1854,723,87,1044,1138,Success
ENSMUSG00000048000,ENSMUST00000027475.15,Ensembl_canonical,5724,3876,197,1651,1855,Success
ENSMUSG00000026259,ENSMUST00000027477.15,appris_principal_1,2746,1863,163,720,890,Success
ENSMUSG00000026289,ENSMUST00000027512.13,appris_principal_3,3130,1824,187,1119,1313,Success
ENSMUSG00000044783,ENSMUST00000065420.12,appris_principal_2,2217,1776,88,353,448,Success
ENSMUSG00000049866,ENSMUST00000187810.2,appris_principal_1,2740,579,212,1949,2168,Success
ENSMUSG00000036206,ENSMUST00000066279.11,appris_principal_1,4995,2889,389,1717,2113,Success
ENSMUSG00000055013,ENSMUST00000190096.7,appris_principal_3,4078,2415,556,1107,1670,Success
ENSMUSG00000034432,ENSMUST00000036153.12,appris_principal_1,2287,630,569,1088,1664,Success
ENSMUSG00000034343,ENSMUST00000059743.12,appris_principal_1,1154,558,211,385,603,Success
ENSMUSG00000055866,ENSMUST00000069620.10,appris_principal_1,5833,3774,170,1889,2066,Success
ENSMUSG00000034292,ENSMUST00000047242.9,appris_principal_1,3474,1878,72,1524,1603,Success
ENSMUSG00000026311,ENSMUST00000086843.11,appris_principal_1,2490,1011,269,1210,1486,Success
ENSMUSG00000026313,ENSMUST00000097644.9,appris_principal_1,8100,3231,301,4568,4876,Success
ENSMUSG00000034220,ENSMUST00000045970.8,appris_principal_1,4176,1674,287,2215,2509,Success
ENSMUSG00000026269,ENSMUST00000027487.15,appris_principal_1,3337,2163,188,986,1181,Success
ENSMUSG00000026270,ENSMUST00000027488.11,appris_principal_1,2902,2001,498,403,908,Success
ENSMUSG00000014602,ENSMUST00000190723.7,Ensembl_canonical,6141,5376,248,517,772,Success
ENSMUSG00000026273,ENSMUST00000027492.14,appris_principal_1,1366,1041,70,255,332,Success
ENSMUSG00000026275,ENSMUST00000027494.11,appris_principal_1,10315,1086,806,8423,9236,Success
ENSMUSG00000034088,ENSMUST00000170883.8,appris_principal_1,6231,3807,191,2233,2431,Success
ENSMUSG00000026277,ENSMUST00000027498.14,appris_principal_1,4249,1281,232,2736,2975,Success
ENSMUSG00000026278,ENSMUST00000027499.13,appris_principal_1,1468,642,224,602,833,Success
ENSMUSG00000026280,ENSMUST00000027502.16,appris_principal_1,4173,1182,140,2851,2998,Success
ENSMUSG00000026283,ENSMUST00000027505.13,appris_principal_1,4533,723,38,3772,3817,Success
ENSMUSG00000051185,ENSMUST00000059975.8,appris_principal_1,2112,573,194,1345,1546,Success
ENSMUSG00000040710,ENSMUST00000043336.11,appris_principal_1,5390,1080,310,4000,4317,Success
ENSMUSG00000026333,ENSMUST00000112844.10,appris_principal_1,2046,1557,91,398,496,Success
ENSMUSG00000026335,ENSMUST00000161567.8,appris_principal_2,3630,2622,298,710,1015,Success
ENSMUSG00000047496,ENSMUST00000058688.7,appris_principal_1,8492,612,575,7305,7887,Success
ENSMUSG00000056536,ENSMUST00000070699.15,appris_principal_1,6528,2796,150,3582,3739,Success
ENSMUSG00000026319,ENSMUST00000039173.13,appris_principal_3,4328,3651,225,452,684,Success
ENSMUSG00000038866,ENSMUST00000119166.8,appris_principal_2,6368,3468,101,2799,2907,Success
ENSMUSG00000044340,ENSMUST00000061047.7,appris_principal_1,6226,5064,252,910,1169,Success
ENSMUSG00000057329,ENSMUST00000112751.2,appris_principal_1,7191,711,1394,5086,6487,Success
ENSMUSG00000009905,ENSMUST00000010049.6,appris_principal_1,5518,999,76,4443,4526,Success
ENSMUSG00000009907,ENSMUST00000112736.8,appris_principal_1,4539,1335,220,2984,3211,Success
ENSMUSG00000026315,ENSMUST00000000514.11,appris_principal_1,3001,1125,292,1584,1883,Success
ENSMUSG00000038702,ENSMUST00000035462.7,appris_principal_1,5759,3624,1661,474,2142,Success
ENSMUSG00000026374,ENSMUST00000027623.9,appris_principal_1,7063,687,350,6026,6383,Success
ENSMUSG00000026377,ENSMUST00000027626.13,appris_principal_1,1889,954,54,881,942,Success
ENSMUSG00000064302,ENSMUST00000190571.7,appris_principal_2,7910,4659,748,2503,3258,Success
ENSMUSG00000048402,ENSMUST00000062483.15,appris_principal_1,6637,4635,349,1653,2009,Success
ENSMUSG00000004451,ENSMUST00000004565.15,appris_principal_1,2289,621,267,1401,1675,Success
ENSMUSG00000098923,ENSMUST00000183952.2,appris_principal_1,2824,1053,351,1420,1778,Success
ENSMUSG00000026383,ENSMUST00000191046.7,appris_principal_1,6870,1515,218,5137,5362,Success
ENSMUSG00000026384,ENSMUST00000064091.12,appris_principal_1,10874,2781,729,7364,8100,Success
ENSMUSG00000050777,ENSMUST00000056089.8,appris_principal_1,1311,636,342,333,682,Success
ENSMUSG00000026385,ENSMUST00000027634.13,appris_principal_1,569,264,125,180,312,Success
ENSMUSG00000026389,ENSMUST00000112641.8,appris_principal_1,5158,1467,430,3261,3698,Success
ENSMUSG00000003721,ENSMUST00000003818.14,appris_principal_1,2697,678,466,1553,2026,Success
ENSMUSG00000026339,ENSMUST00000036025.16,appris_principal_3,7274,1890,167,5217,5391,Success
ENSMUSG00000026341,ENSMUST00000027579.17,appris_principal_1,2554,1257,207,1090,1304,Success
ENSMUSG00000026342,ENSMUST00000027580.11,appris_principal_1,2733,1575,229,929,1165,Success
ENSMUSG00000036155,ENSMUST00000038361.11,appris_principal_1,8436,2223,602,5611,6220,Success
ENSMUSG00000026349,ENSMUST00000112570.2,appris_principal_2,4511,1974,64,2473,2544,Success
ENSMUSG00000036086,ENSMUST00000086614.12,appris_principal_1,4210,3210,217,783,1007,Success
ENSMUSG00000056211,ENSMUST00000036288.11,appris_principal_1,4795,3408,409,978,1394,Success
ENSMUSG00000026353,ENSMUST00000027592.6,appris_principal_1,4113,1521,309,2283,2599,Success
ENSMUSG00000026355,ENSMUST00000027601.11,appris_principal_1,2910,2466,99,345,451,Success
ENSMUSG00000026356,ENSMUST00000027602.15,appris_principal_1,2175,1506,142,527,676,Success
ENSMUSG00000045382,ENSMUST00000052172.7,appris_principal_1,1805,1080,81,644,732,Success
ENSMUSG00000026399,ENSMUST00000027650.13,appris_principal_1,2533,1173,75,1285,1367,Success
ENSMUSG00000026409,ENSMUST00000066863.13,appris_principal_3,4425,1557,34,2834,2875,Success
ENSMUSG00000046404,ENSMUST00000049813.6,appris_principal_1,6128,1032,157,4939,5103,Success
ENSMUSG00000016528,ENSMUST00000016672.11,appris_principal_1,2854,1161,301,1392,1700,Success
ENSMUSG00000016526,ENSMUST00000016670.9,appris_principal_1,3164,1761,184,1219,1410,Success
ENSMUSG00000026427,ENSMUST00000068805.14,appris_principal_1,2009,1713,189,107,303,Success
ENSMUSG00000026430,ENSMUST00000027688.15,appris_principal_1,3485,1242,128,2115,2250,Success
ENSMUSG00000042349,ENSMUST00000062108.10,appris_principal_1,3251,2154,389,708,1104,Success
ENSMUSG00000026425,ENSMUST00000097588.9,appris_principal_1,8026,3216,704,4106,4817,Success
ENSMUSG00000013275,ENSMUST00000086559.7,appris_principal_1,4697,1539,1028,2130,3165,Success
ENSMUSG00000026433,ENSMUST00000112386.8,appris_principal_1,1202,615,428,159,594,Success
ENSMUSG00000026434,ENSMUST00000062264.8,Ensembl_canonical,5998,705,178,5115,5300,Success
ENSMUSG00000026435,ENSMUST00000177943.8,appris_principal_1,3212,1662,309,1241,1557,Success
ENSMUSG00000026436,ENSMUST00000086556.12,appris_principal_1,4433,1293,343,2797,3147,Success
ENSMUSG00000026437,ENSMUST00000027697.12,appris_principal_1,4355,1356,300,2699,3006,Success
ENSMUSG00000009772,ENSMUST00000072177.14,appris_principal_2,2936,1920,104,912,1023,Success
ENSMUSG00000042046,ENSMUST00000045110.14,appris_principal_1,6282,2784,51,3447,3505,Success
ENSMUSG00000026439,ENSMUST00000190997.7,Ensembl_canonical,2856,1617,142,1097,1246,Success
ENSMUSG00000054387,ENSMUST00000067398.13,Ensembl_canonical,1914,1473,139,302,448,Success
ENSMUSG00000026447,ENSMUST00000077730.7,appris_principal_1,7928,4899,500,2529,3036,Success
ENSMUSG00000046062,ENSMUST00000052529.4,appris_principal_1,5594,2094,604,2896,3507,Success
ENSMUSG00000041757,ENSMUST00000187285.7,appris_principal_2,5040,3147,374,1519,1900,Success
ENSMUSG00000070644,ENSMUST00000135222.9,appris_principal_1,2297,1158,192,947,1146,Success
ENSMUSG00000070643,ENSMUST00000153799.8,appris_principal_1,3693,1842,503,1348,1858,Success
ENSMUSG00000026463,ENSMUST00000143567.8,appris_principal_1,11725,3618,873,7234,8114,Success
ENSMUSG00000020423,ENSMUST00000020692.7,appris_principal_1,2743,477,67,2199,2273,Success
ENSMUSG00000042305,ENSMUST00000049470.11,appris_principal_1,3149,1128,109,1912,2028,Success
ENSMUSG00000026456,ENSMUST00000027726.14,appris_principal_1,1837,918,258,661,926,Success
ENSMUSG00000026457,ENSMUST00000027727.15,appris_principal_1,3123,1128,302,1693,2002,Success
ENSMUSG00000026455,ENSMUST00000027725.11,appris_principal_1,3408,1707,141,1560,1708,Success
ENSMUSG00000042229,ENSMUST00000047978.9,appris_principal_1,2861,372,36,2453,2496,Success
ENSMUSG00000042207,ENSMUST00000047714.14,appris_principal_1,8714,4635,168,3911,4086,Success
ENSMUSG00000026429,ENSMUST00000027687.8,appris_principal_1,1116,615,285,216,508,Success
ENSMUSG00000026426,ENSMUST00000027684.11,appris_principal_1,1713,561,154,998,1159,Success
ENSMUSG00000062580,ENSMUST00000081104.10,appris_principal_1,7280,516,59,6705,6771,Success
ENSMUSG00000041889,ENSMUST00000041240.4,appris_principal_1,1763,594,276,893,1176,Success
ENSMUSG00000041879,ENSMUST00000041023.14,appris_principal_1,6247,3123,69,3055,3131,Success
ENSMUSG00000026421,ENSMUST00000097561.9,appris_principal_1,1828,582,134,1112,1253,Success
ENSMUSG00000041801,ENSMUST00000038945.6,appris_principal_1,1435,378,330,727,1064,Success
ENSMUSG00000026411,ENSMUST00000165125.8,appris_principal_1,901,552,302,47,356,Success
ENSMUSG00000041642,ENSMUST00000075164.11,appris_principal_1,9115,4875,333,3907,4247,Success
ENSMUSG00000041570,ENSMUST00000048309.12,Ensembl_canonical,7823,4437,667,2719,3393,Success
ENSMUSG00000041498,ENSMUST00000189413.7,appris_principal_1,8943,5025,23,3895,3925,Short_or_Missing_UTRs
ENSMUSG00000041483,ENSMUST00000047734.15,appris_principal_1,4933,2682,165,2086,2258,Success
