transcript_id	gene_id	strand	model	cds_length	zone_length	n_transition_fragile_codons	n_transversion_fragile_codons	n_snv_fragile_codons	n_alt_stop_codons	transition_fragile_codon_density	transversion_fragile_codon_density	snv_fragile_codon_density	alt_stop_codon_density	transition_fraction_of_snv_fragile
ENSMUST00000177608.8	ENSMUSG00000016918	+	full	2613	2532	62	225	287	72	0.02448657187993681	0.08886255924170616	0.11334913112164297	0.02843601895734597	0.21602787456445993
ENSMUST00000006037.13	ENSMUSG00000005886	-	full	4389	4327	140	275	415	143	0.03235498035590478	0.06355442569909868	0.09590940605500346	0.03304830136353132	0.3373493975903614
ENSMUST00000027068.11	ENSMUSG00000025935	-	full	1125	1001	21	68	89	25	0.02097902097902098	0.06793206793206794	0.08891108891108891	0.024975024975024976	0.23595505617977527
ENSMUST00000027071.7	ENSMUSG00000025937	-	full	867	773	12	70	82	37	0.015523932729624839	0.09055627425614489	0.10608020698576973	0.047865459249676584	0.14634146341463414
ENSMUST00000027066.13	ENSMUSG00000025932	-	full	1776	1645	40	121	161	50	0.0243161094224924	0.07355623100303951	0.09787234042553192	0.030395136778115502	0.2484472049689441
ENSMUST00000027053.8	ENSMUSG00000025921	+	full	1026	852	11	66	77	31	0.012910798122065728	0.07746478873239436	0.0903755868544601	0.036384976525821594	0.14285714285714285
ENSMUST00000162751.8	ENSMUSG00000025920	-	full	1713	1569	34	148	182	77	0.021669853409815167	0.09432759719566602	0.1159974506054812	0.049075844486934354	0.18681318681318682
ENSMUST00000188641.7	ENSMUSG00000079658	-	full	339	98	0	12	12	7	0.0	0.12244897959183673	0.12244897959183673	0.07142857142857142	0.0
ENSMUST00000053266.11	ENSMUSG00000041859	-	full	2439	2190	37	179	216	74	0.016894977168949773	0.0817351598173516	0.09863013698630137	0.033789954337899546	0.1712962962962963
ENSMUST00000189400.7	ENSMUSG00000025931	+	full	1065	0	0	0	0	0	NA	NA	NA	NA	NA
ENSMUST00000037998.6	ENSMUSG00000041779	-	full	1113	989	22	73	95	21	0.022244691607684528	0.07381193124368049	0.09605662285136501	0.021233569261880688	0.23157894736842105
ENSMUST00000027065.12	ENSMUSG00000025933	+	full	300	210	1	17	18	7	0.004761904761904762	0.08095238095238096	0.08571428571428572	0.03333333333333333	0.05555555555555555
ENSMUST00000027343.6	ENSMUSG00000026158	-	full	1395	645	16	70	86	19	0.024806201550387597	0.10852713178294573	0.13333333333333333	0.02945736434108527	0.18604651162790697
ENSMUST00000027339.14	ENSMUSG00000026155	-	full	1323	1138	29	95	124	32	0.025483304042179262	0.08347978910369068	0.10896309314586995	0.028119507908611598	0.23387096774193547
ENSMUST00000187369.7	ENSMUSG00000026153	-	full	3933	3677	59	340	399	181	0.016045689420723416	0.09246668479738918	0.10851237421811259	0.04922491161272777	0.14786967418546365
ENSMUST00000095062.10	ENSMUSG00000073725	+	full	1404	1240	25	105	130	41	0.020161290322580645	0.0846774193548387	0.10483870967741936	0.03306451612903226	0.19230769230769232
ENSMUST00000088287.10	ENSMUSG00000004768	+	full	714	524	11	54	65	19	0.02099236641221374	0.10305343511450382	0.12404580152671756	0.03625954198473282	0.16923076923076924
ENSMUST00000044691.9	ENSMUSG00000042215	-	full	633	173	3	14	17	2	0.017341040462427744	0.08092485549132948	0.09826589595375723	0.011560693641618497	0.17647058823529413
ENSMUST00000044455.8	ENSMUSG00000042197	-	full	1680	136	1	15	16	7	0.007352941176470588	0.11029411764705882	0.11764705882352941	0.051470588235294115	0.0625
ENSMUST00000027303.14	ENSMUSG00000026127	+	full	876	713	12	53	65	22	0.016830294530154277	0.07433380084151472	0.091164095371669	0.030855539971949508	0.18461538461538463
ENSMUST00000167518.8	ENSMUSG00000037503	-	full	621	588	9	33	42	9	0.015306122448979591	0.05612244897959184	0.07142857142857142	0.015306122448979591	0.21428571428571427
ENSMUST00000027297.11	ENSMUSG00000026123	+	full	666	479	13	36	49	9	0.027139874739039668	0.07515657620041753	0.1022964509394572	0.018789144050104383	0.2653061224489796
ENSMUST00000088174.4	ENSMUSG00000045216	+	full	1236	477	7	29	36	6	0.014675052410901468	0.06079664570230608	0.07547169811320754	0.012578616352201259	0.19444444444444445
ENSMUST00000046875.14	ENSMUSG00000037470	-	full	4656	4580	102	391	493	185	0.0222707423580786	0.0853711790393013	0.10764192139737991	0.04039301310043668	0.20689655172413793
ENSMUST00000115032.8	ENSMUSG00000037447	+	full	1773	511	13	42	55	14	0.025440313111545987	0.0821917808219178	0.10763209393346379	0.0273972602739726	0.23636363636363636
ENSMUST00000125304.8	ENSMUSG00000001143	-	full	1044	851	21	60	81	24	0.024676850763807285	0.07050528789659224	0.09518213866039953	0.0282021151586369	0.25925925925925924
ENSMUST00000153128.2	ENSMUSG00000037408	+	full	2316	2068	23	133	156	57	0.011121856866537718	0.06431334622823985	0.07543520309477757	0.02756286266924565	0.14743589743589744
ENSMUST00000191677.6	ENSMUSG00000026121	-	full	2505	1625	44	112	156	40	0.02707692307692308	0.06892307692307692	0.096	0.024615384615384615	0.28205128205128205
ENSMUST00000043951.10	ENSMUSG00000037351	-	full	1131	978	15	69	84	29	0.015337423312883436	0.0705521472392638	0.08588957055214724	0.02965235173824131	0.17857142857142858
ENSMUST00000027290.12	ENSMUSG00000026116	-	full	5634	5299	85	414	499	181	0.01604076240800151	0.0781279486695603	0.0941687110775618	0.034157388186450276	0.17034068136272545
ENSMUST00000027287.11	ENSMUSG00000026113	+	full	2820	2637	67	194	261	77	0.02540766021994691	0.07356844899507016	0.09897610921501707	0.0291998483124763	0.2567049808429119
ENSMUST00000027286.7	ENSMUSG00000026112	-	full	225	133	3	17	20	3	0.022556390977443608	0.12781954887218044	0.15037593984962405	0.022556390977443608	0.15
ENSMUST00000114925.10	ENSMUSG00000026111	+	full	780	593	14	40	54	18	0.023608768971332208	0.06745362563237774	0.09106239460370995	0.03035413153456998	0.25925925925925924
ENSMUST00000042161.15	ENSMUSG00000026110	-	full	1608	1531	34	143	177	53	0.022207707380796866	0.09340300457217506	0.11561071195297191	0.034617896799477466	0.192090395480226
ENSMUST00000139725.8	ENSMUSG00000026088	-	full	750	703	16	78	94	34	0.02275960170697013	0.11095305832147938	0.1337126600284495	0.04836415362731152	0.1702127659574468
ENSMUST00000027252.8	ENSMUSG00000026083	+	full	3651	3493	59	465	524	171	0.016890924706555968	0.13312338963641568	0.15001431434297166	0.048955052963069	0.11259541984732824
ENSMUST00000027251.12	ENSMUSG00000026082	-	full	3750	3588	78	322	400	137	0.021739130434782608	0.08974358974358974	0.11148272017837235	0.03818283166109253	0.195
ENSMUST00000238906.2	ENSMUSG00000037138	-	full	3765	3593	75	285	360	89	0.020873921514055108	0.0793209017534094	0.10019482326746451	0.024770386863345394	0.20833333333333334
ENSMUST00000027249.13	ENSMUSG00000026080	-	full	1071	483	9	43	52	17	0.018633540372670808	0.08902691511387163	0.10766045548654245	0.035196687370600416	0.17307692307692307
ENSMUST00000086535.12	ENSMUSG00000073702	+	full	378	296	3	27	30	8	0.010135135135135136	0.09121621621621621	0.10135135135135136	0.02702702702702703	0.1
ENSMUST00000161515.8	ENSMUSG00000003135	+	full	1518	1270	22	76	98	29	0.01732283464566929	0.05984251968503937	0.07716535433070866	0.02283464566929134	0.22448979591836735
ENSMUST00000027241.11	ENSMUSG00000026072	+	full	1731	1262	21	126	147	53	0.01664025356576862	0.09984152139461172	0.11648177496038035	0.041996830427892234	0.14285714285714285
ENSMUST00000039672.6	ENSMUSG00000041945	-	full	1401	557	6	30	36	17	0.010771992818671455	0.05385996409335727	0.06463195691202872	0.03052064631956912	0.16666666666666666
ENSMUST00000095014.8	ENSMUSG00000070939	-	full	2583	2356	54	181	235	64	0.022920203735144314	0.0768251273344652	0.0997453310696095	0.027164685908319185	0.2297872340425532
ENSMUST00000010434.8	ENSMUSG00000010290	+	full	699	592	9	47	56	28	0.015202702702702704	0.07939189189189189	0.0945945945945946	0.0472972972972973	0.16071428571428573
ENSMUST00000008280.14	ENSMUSG00000008136	-	full	840	638	15	85	100	13	0.023510971786833857	0.13322884012539185	0.15673981191222572	0.02037617554858934	0.15
ENSMUST00000086421.9	ENSMUSG00000066877	+	full	1143	898	21	63	84	27	0.02338530066815145	0.07015590200445435	0.0935412026726058	0.030066815144766147	0.25
ENSMUST00000126008.8	ENSMUSG00000057363	-	full	1263	1081	17	87	104	45	0.01572617946345976	0.08048103607770583	0.09620721554116558	0.041628122109158186	0.16346153846153846
ENSMUST00000188313.7	ENSMUSG00000041763	+	full	3750	3610	59	341	400	166	0.016343490304709142	0.09445983379501385	0.11080332409972299	0.04598337950138504	0.1475
ENSMUST00000027215.12	ENSMUSG00000026049	-	full	678	454	3	43	46	23	0.006607929515418502	0.0947136563876652	0.1013215859030837	0.05066079295154185	0.06521739130434782
ENSMUST00000065767.9	ENSMUSG00000026047	-	full	1509	1441	33	126	159	58	0.022900763358778626	0.08743927827897294	0.11034004163775156	0.040249826509368494	0.20754716981132076
ENSMUST00000074525.10	ENSMUSG00000056870	+	full	915	793	14	85	99	36	0.017654476670870115	0.10718789407313997	0.12484237074401008	0.04539722572509458	0.1414141414141414
ENSMUST00000087883.13	ENSMUSG00000026043	+	full	4395	4198	60	338	398	102	0.014292520247737018	0.08051453072891854	0.09480705097665555	0.02429728442115293	0.1507537688442211
ENSMUST00000086430.5	ENSMUSG00000026042	-	full	4494	4297	73	364	437	113	0.01698859669536886	0.08471026297416802	0.10169885966953689	0.026297416802420294	0.16704805491990846
ENSMUST00000027137.11	ENSMUSG00000025993	-	full	1713	1349	25	99	124	48	0.018532246108228317	0.07338769458858414	0.09191994069681246	0.03558191252779837	0.20161290322580644
ENSMUST00000027131.6	ENSMUSG00000025986	-	full	2502	2293	33	200	233	114	0.01439162668992586	0.08722197993894461	0.10161360662887048	0.04971652856519843	0.14163090128755365
ENSMUST00000027279.12	ENSMUSG00000026107	-	full	597	380	7	40	47	18	0.018421052631578946	0.10526315789473684	0.12368421052631579	0.04736842105263158	0.14893617021276595
ENSMUST00000018561.14	ENSMUSG00000018417	-	full	3411	3237	69	325	394	126	0.021316033364226137	0.10040160642570281	0.12171763978992894	0.03892493049119555	0.1751269035532995
ENSMUST00000070968.14	ENSMUSG00000026104	+	full	2250	2185	77	189	266	79	0.035240274599542334	0.08649885583524028	0.12173913043478261	0.036155606407322655	0.2894736842105263
ENSMUST00000114513.9	ENSMUSG00000026103	-	full	2025	1818	37	148	185	75	0.02035203520352035	0.0814081408140814	0.10176017601760176	0.041254125412541254	0.2
ENSMUST00000069792.14	ENSMUSG00000002881	-	full	1461	1322	36	124	160	50	0.02723146747352496	0.09379727685325265	0.12102874432677761	0.037821482602118005	0.225
ENSMUST00000165859.8	ENSMUSG00000043015	+	full	1266	1077	26	87	113	41	0.02414113277623027	0.0807799442896936	0.10492107706592387	0.03806870937790158	0.23008849557522124
ENSMUST00000156876.8	ENSMUSG00000041439	-	full	2385	2131	44	155	199	72	0.020647583294228063	0.07273580478648521	0.09338338808071328	0.0337869544814641	0.22110552763819097
ENSMUST00000027271.9	ENSMUSG00000026102	-	full	1191	591	12	52	64	15	0.02030456852791878	0.08798646362098139	0.10829103214890017	0.025380710659898477	0.1875
ENSMUST00000027266.4	ENSMUSG00000026097	+	full	462	276	5	17	22	13	0.018115942028985508	0.06159420289855073	0.07971014492753623	0.04710144927536232	0.22727272727272727
ENSMUST00000027263.14	ENSMUSG00000026094	-	full	1119	786	12	80	92	36	0.015267175572519083	0.10178117048346055	0.11704834605597965	0.04580152671755725	0.13043478260869565
ENSMUST00000120904.8	ENSMUSG00000042807	-	full	4737	4575	103	327	430	156	0.022513661202185793	0.07147540983606557	0.09398907103825137	0.03409836065573771	0.23953488372093024
ENSMUST00000041638.8	ENSMUSG00000041303	-	full	2649	2476	42	255	297	108	0.016962843295638127	0.10298869143780291	0.11995153473344103	0.04361873990306947	0.1414141414141414
ENSMUST00000097739.5	ENSMUSG00000073678	-	full	2769	2580	49	230	279	114	0.018992248062015504	0.08914728682170543	0.10813953488372093	0.044186046511627906	0.17562724014336917
ENSMUST00000179030.8	ENSMUSG00000052331	-	full	2982	2873	38	231	269	117	0.013226592412112773	0.0804037591367908	0.09363035154890359	0.04072398190045249	0.1412639405204461
ENSMUST00000027127.14	ENSMUSG00000025982	-	full	3915	3706	82	333	415	188	0.022126281705342688	0.0898542903399892	0.11198057204533189	0.050728548300053966	0.19759036144578312
ENSMUST00000027125.7	ENSMUSG00000025981	+	full	729	511	7	56	63	21	0.0136986301369863	0.1095890410958904	0.1232876712328767	0.0410958904109589	0.1111111111111111
ENSMUST00000027123.15	ENSMUSG00000025980	-	full	1722	1519	21	142	163	86	0.013824884792626729	0.0934825543120474	0.10730743910467412	0.05661619486504279	0.12883435582822086
ENSMUST00000075242.7	ENSMUSG00000073676	+	full	309	208	3	22	25	6	0.014423076923076924	0.10576923076923077	0.1201923076923077	0.028846153846153848	0.12
ENSMUST00000162364.8	ENSMUSG00000025979	+	full	678	496	13	43	56	29	0.02620967741935484	0.08669354838709678	0.11290322580645161	0.05846774193548387	0.23214285714285715
ENSMUST00000061334.10	ENSMUSG00000046994	+	full	1761	0	0	0	0	0	NA	NA	NA	NA	NA
ENSMUST00000114415.10	ENSMUSG00000038331	-	full	2202	1690	55	118	173	52	0.03254437869822485	0.06982248520710059	0.10236686390532544	0.03076923076923077	0.3179190751445087
ENSMUST00000162686.8	ENSMUSG00000048495	-	full	948	641	16	68	84	21	0.0249609984399376	0.1060842433697348	0.1310452418096724	0.0327613104524181	0.19047619047619047
ENSMUST00000027114.6	ENSMUSG00000025971	+	full	876	747	16	56	72	28	0.0214190093708166	0.0749665327978581	0.0963855421686747	0.03748326639892905	0.2222222222222222
ENSMUST00000170139.8	ENSMUSG00000038305	+	full	1674	1231	23	119	142	48	0.01868399675060926	0.0966693744922827	0.11535337124289195	0.03899268887083672	0.1619718309859155
ENSMUST00000114410.10	ENSMUSG00000054770	-	full	1290	747	13	75	88	37	0.01740294511378849	0.10040160642570281	0.11780455153949129	0.049531459170013385	0.14772727272727273
ENSMUST00000050552.15	ENSMUSG00000051223	+	full	1260	1178	26	111	137	60	0.022071307300509338	0.09422750424448217	0.11629881154499151	0.050933786078098474	0.1897810218978102
ENSMUST00000034868.14	ENSMUSG00000026034	-	full	1452	1258	22	136	158	69	0.017488076311605722	0.10810810810810811	0.12559618441971382	0.054848966613672494	0.13924050632911392
ENSMUST00000117069.8	ENSMUSG00000026035	-	full	486	309	4	29	33	13	0.012944983818770227	0.09385113268608414	0.10679611650485436	0.042071197411003236	0.12121212121212122
ENSMUST00000027198.12	ENSMUSG00000026037	-	full	1731	1594	41	153	194	82	0.025721455457967377	0.0959849435382685	0.12170639899623588	0.05144291091593475	0.211340206185567
ENSMUST00000097724.10	ENSMUSG00000038174	-	full	1761	1109	30	98	128	41	0.027051397655545536	0.08836789900811542	0.11541929666366095	0.0369702434625789	0.234375
ENSMUST00000027186.12	ENSMUSG00000026028	-	full	2742	2013	63	178	241	74	0.03129657228017884	0.08842523596621957	0.11972180824639841	0.03676105315449578	0.26141078838174275
ENSMUST00000027185.11	ENSMUSG00000026027	+	full	1257	1063	27	76	103	45	0.02539981185324553	0.07149576669802446	0.09689557855126998	0.04233301975540922	0.2621359223300971
ENSMUST00000027178.13	ENSMUSG00000026024	-	full	4956	4867	110	430	540	160	0.022601191699198685	0.08835011300595849	0.11095130470515718	0.03287446065337991	0.2037037037037037
ENSMUST00000114246.4	ENSMUSG00000041075	+	full	1719	0	0	0	0	0	NA	NA	NA	NA	NA
ENSMUST00000091374.9	ENSMUSG00000026021	-	full	306	187	4	27	31	10	0.0213903743315508	0.1443850267379679	0.1657754010695187	0.053475935828877004	0.12903225806451613
ENSMUST00000191142.7	ENSMUSG00000026020	+	full	1611	1510	20	184	204	89	0.013245033112582781	0.12185430463576159	0.13509933774834437	0.05894039735099338	0.09803921568627451
ENSMUST00000036540.12	ENSMUSG00000041040	+	full	1755	1386	35	74	109	28	0.025252525252525252	0.05339105339105339	0.07864357864357864	0.020202020202020204	0.3211009174311927
ENSMUST00000060608.13	ENSMUSG00000049439	+	full	1389	1188	29	98	127	49	0.02441077441077441	0.08249158249158249	0.1069023569023569	0.041245791245791245	0.2283464566929134
ENSMUST00000075374.10	ENSMUSG00000052062	+	full	3612	3204	56	287	343	114	0.017478152309612985	0.08957553058676654	0.10705368289637952	0.035580524344569285	0.16326530612244897
ENSMUST00000114157.3	ENSMUSG00000025969	+	full	2796	2441	62	177	239	63	0.025399426464563703	0.07251126587464155	0.09791069233920524	0.02580909463334699	0.2594142259414226
ENSMUST00000087374.10	ENSMUSG00000025964	+	full	2490	2391	51	213	264	78	0.02132998745294856	0.0890840652446675	0.11041405269761606	0.03262233375156838	0.19318181818181818
ENSMUST00000027103.7	ENSMUSG00000025962	+	full	2070	1912	34	170	204	106	0.01778242677824268	0.08891213389121339	0.10669456066945607	0.05543933054393305	0.16666666666666666
ENSMUST00000114086.8	ENSMUSG00000025959	-	full	906	804	16	75	91	23	0.01990049751243781	0.09328358208955224	0.11318407960199005	0.028606965174129355	0.17582417582417584
ENSMUST00000185594.7	ENSMUSG00000025958	+	full	984	789	36	40	76	22	0.045627376425855515	0.050697084917617236	0.09632446134347275	0.02788339670468948	0.47368421052631576
ENSMUST00000114079.9	ENSMUSG00000025956	-	full	657	209	6	10	16	3	0.028708133971291867	0.04784688995215311	0.07655502392344497	0.014354066985645933	0.375
ENSMUST00000187170.7	ENSMUSG00000070871	+	full	876	709	10	63	73	37	0.014104372355430184	0.08885754583921016	0.10296191819464035	0.05218617771509168	0.136986301369863
ENSMUST00000063982.7	ENSMUSG00000045005	-	full	1758	0	0	0	0	0	NA	NA	NA	NA	NA
ENSMUST00000097713.2	ENSMUSG00000051344	-	full	2286	2058	67	158	225	63	0.03255587949465501	0.07677356656948493	0.10932944606413994	0.030612244897959183	0.29777777777777775
ENSMUST00000097709.11	ENSMUSG00000025950	-	full	1245	1104	26	98	124	45	0.02355072463768116	0.08876811594202899	0.11231884057971014	0.04076086956521739	0.20967741935483872
ENSMUST00000081154.14	ENSMUSG00000025949	+	full	6159	5993	158	542	700	244	0.026364091440013348	0.09043884531953947	0.1168029367595528	0.04071416652761555	0.2257142857142857
ENSMUST00000114017.8	ENSMUSG00000015222	+	full	1497	1231	18	111	129	39	0.01462225832656377	0.0901705930138099	0.10479285134037368	0.03168155970755483	0.13953488372093023
ENSMUST00000027157.10	ENSMUSG00000026005	+	full	687	514	11	31	42	20	0.021400778210116732	0.06031128404669261	0.08171206225680934	0.038910505836575876	0.2619047619047619
ENSMUST00000068168.10	ENSMUSG00000026004	-	full	2844	2563	69	256	325	123	0.026921576277799453	0.0998829496683574	0.12680452594615685	0.047990635973468594	0.2123076923076923
ENSMUST00000027149.12	ENSMUSG00000026000	-	full	1200	1073	24	92	116	36	0.022367194780987885	0.08574091332712022	0.10810810810810811	0.033550792171481825	0.20689655172413793
ENSMUST00000190771.7	ENSMUSG00000025997	-	full	1599	824	12	77	89	34	0.014563106796116505	0.09344660194174757	0.10800970873786407	0.0412621359223301	0.1348314606741573
ENSMUST00000027393.8	ENSMUSG00000026196	-	full	2298	1915	31	174	205	91	0.01618798955613577	0.09086161879895562	0.10704960835509138	0.04751958224543081	0.15121951219512195
ENSMUST00000027384.6	ENSMUSG00000026192	+	full	1779	1609	24	130	154	64	0.014916096954630205	0.08079552517091361	0.09571162212554382	0.039776258545680544	0.15584415584415584
ENSMUST00000055226.13	ENSMUSG00000026193	-	full	7434	7312	184	520	704	199	0.02516411378555799	0.0711159737417943	0.0962800875273523	0.02721553610503282	0.26136363636363635
ENSMUST00000027381.13	ENSMUSG00000026189	-	full	912	776	11	61	72	24	0.014175257731958763	0.07860824742268041	0.09278350515463918	0.030927835051546393	0.1527777777777778
ENSMUST00000027379.10	ENSMUSG00000026187	+	full	2199	2134	51	197	248	97	0.023898781630740395	0.0923149015932521	0.1162136832239925	0.045454545454545456	0.2056451612903226
ENSMUST00000047615.15	ENSMUSG00000039354	+	full	2733	2449	58	175	233	64	0.023683135973866884	0.07145773785218457	0.09514087382605145	0.026133115557370357	0.24892703862660945
ENSMUST00000059980.11	ENSMUSG00000046330	+	full	279	165	3	18	21	4	0.01818181818181818	0.10909090909090909	0.12727272727272726	0.024242424242424242	0.14285714285714285
ENSMUST00000027377.9	ENSMUSG00000026185	-	full	816	634	9	64	73	13	0.014195583596214511	0.10094637223974763	0.11514195583596215	0.02050473186119874	0.1232876712328767
ENSMUST00000113820.9	ENSMUSG00000006304	+	full	903	828	11	74	85	30	0.013285024154589372	0.0893719806763285	0.10265700483091787	0.036231884057971016	0.12941176470588237
ENSMUST00000178235.8	ENSMUSG00000006299	-	full	1311	1185	25	86	111	39	0.02109704641350211	0.07257383966244725	0.09367088607594937	0.03291139240506329	0.22522522522522523
ENSMUST00000087226.11	ENSMUSG00000026179	+	full	1275	1051	24	72	96	19	0.022835394862036156	0.06850618458610847	0.09134157944814462	0.01807802093244529	0.25
ENSMUST00000016309.16	ENSMUSG00000006301	-	full	930	733	11	47	58	20	0.015006821282401092	0.06412005457025921	0.0791268758526603	0.027285129604365622	0.1896551724137931
ENSMUST00000027367.14	ENSMUSG00000026176	+	full	786	607	12	40	52	13	0.019769357495881382	0.06589785831960461	0.085667215815486	0.0214168039538715	0.23076923076923078
ENSMUST00000189257.7	ENSMUSG00000033364	-	full	2940	2802	60	290	350	120	0.021413276231263382	0.10349750178443969	0.12491077801570306	0.042826552462526764	0.17142857142857143
ENSMUST00000087215.7	ENSMUSG00000026174	+	full	900	681	11	58	69	21	0.016152716593245228	0.08516886930983847	0.1013215859030837	0.030837004405286344	0.15942028985507245
ENSMUST00000027315.14	ENSMUSG00000026135	-	full	5532	5012	104	440	544	144	0.020750199521149242	0.08778930566640064	0.10853950518754989	0.028731045490822026	0.19117647058823528
ENSMUST00000113733.10	ENSMUSG00000026172	+	full	1257	957	27	62	89	27	0.02821316614420063	0.06478578892371996	0.09299895506792058	0.02821316614420063	0.30337078651685395
ENSMUST00000113721.8	ENSMUSG00000026171	-	full	1368	739	29	68	97	16	0.03924221921515562	0.09201623815967523	0.13125845737483086	0.02165087956698241	0.29896907216494845
ENSMUST00000042125.15	ENSMUSG00000033257	+	full	3582	3273	80	242	322	101	0.024442407577146347	0.07393828292086771	0.09838069049801405	0.030858539566147265	0.2484472049689441
ENSMUST00000168720.8	ENSMUSG00000033159	-	full	1224	640	17	48	65	18	0.0265625	0.075	0.1015625	0.028125	0.26153846153846155
ENSMUST00000097694.11	ENSMUSG00000049339	+	full	1626	950	18	73	91	24	0.018947368421052633	0.07684210526315789	0.09578947368421052	0.02526315789473684	0.1978021978021978
ENSMUST00000160439.8	ENSMUSG00000026197	+	full	774	679	15	56	71	17	0.022091310751104567	0.08247422680412371	0.10456553755522828	0.025036818851251842	0.2112676056338028
ENSMUST00000027396.15	ENSMUSG00000026198	-	full	2529	2370	68	126	194	63	0.02869198312236287	0.053164556962025315	0.08185654008438818	0.026582278481012658	0.35051546391752575
ENSMUST00000189702.7	ENSMUSG00000033124	-	full	2520	2464	67	158	225	47	0.02719155844155844	0.06412337662337662	0.09131493506493507	0.019074675324675324	0.29777777777777775
ENSMUST00000152233.9	ENSMUSG00000026199	+	full	2247	2073	58	176	234	58	0.027978774722624215	0.08490110950313555	0.11287988422575977	0.027978774722624215	0.24786324786324787
ENSMUST00000113623.8	ENSMUSG00000026200	-	full	1941	1627	31	120	151	59	0.019053472649047325	0.07375537799631224	0.09280885064535956	0.03626306084818685	0.2052980132450331
ENSMUST00000027401.11	ENSMUSG00000026201	+	full	918	729	22	54	76	27	0.03017832647462277	0.07407407407407407	0.10425240054869685	0.037037037037037035	0.2894736842105263
ENSMUST00000186213.7	ENSMUSG00000026202	-	full	1347	325	8	23	31	5	0.024615384615384615	0.07076923076923076	0.09538461538461539	0.015384615384615385	0.25806451612903225
ENSMUST00000082158.13	ENSMUSG00000026203	+	full	834	773	14	54	68	24	0.018111254851228976	0.06985769728331177	0.08796895213454076	0.031047865459249677	0.20588235294117646
ENSMUST00000066668.14	ENSMUSG00000026209	-	full	1422	1321	26	79	105	35	0.01968205904617714	0.05980317940953823	0.07948523845571537	0.026495079485238455	0.24761904761904763
ENSMUST00000037796.14	ENSMUSG00000033021	+	full	1263	1112	31	59	90	25	0.02787769784172662	0.053057553956834536	0.08093525179856115	0.022482014388489208	0.34444444444444444
ENSMUST00000079205.14	ENSMUSG00000032997	-	full	2325	1018	18	56	74	19	0.01768172888015717	0.0550098231827112	0.07269155206286837	0.018664047151277015	0.24324324324324326
ENSMUST00000027414.16	ENSMUSG00000026213	+	full	3219	3019	74	220	294	79	0.024511427625041403	0.0728718118582312	0.09738323948327261	0.02616760516727393	0.25170068027210885
ENSMUST00000124341.8	ENSMUSG00000006576	+	full	3684	3556	59	223	282	76	0.016591676040494937	0.06271091113610798	0.07930258717660292	0.021372328458942633	0.20921985815602837
ENSMUST00000027451.13	ENSMUSG00000026235	-	full	2961	2961	62	232	294	91	0.02093887200270179	0.07835190813914218	0.09929078014184398	0.030732860520094562	0.2108843537414966
ENSMUST00000035779.15	ENSMUSG00000032883	+	full	2163	1955	32	191	223	79	0.016368286445012786	0.09769820971867008	0.11406649616368286	0.04040920716112532	0.14349775784753363
ENSMUST00000027467.11	ENSMUSG00000026249	-	full	1194	1106	20	70	90	39	0.018083182640144666	0.06329113924050633	0.081374321880651	0.0352622061482821	0.2222222222222222
ENSMUST00000163119.8	ENSMUSG00000004364	-	full	2307	2125	42	211	253	118	0.01976470588235294	0.09929411764705882	0.11905882352941176	0.05552941176470588	0.16600790513833993
