transcript_id	gene_id	region	length	source_file	seqid	strand
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004834|NM_001083755.1|CNOT10	+
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	3UTR	315	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000004834|NM_001083755.1|CNOT10	+
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	mRNA	1343	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000005614|NM_001206064.1|UXS1	+
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	5UTR	63	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000005614|NM_001206064.1|UXS1	+
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000005614|NM_001206064.1|UXS1	+
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	3UTR	563	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000005614|NM_001206064.1|UXS1	+
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	mRNA	854	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000012756|NM_001046171.2|CCT7	+
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	5UTR	15	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000012756|NM_001046171.2|CCT7	+
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000012756|NM_001046171.2|CCT7	+
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	3UTR	122	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000012756|NM_001046171.2|CCT7	+
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	mRNA	1117	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000015961|NM_001034657.1|TSPAN2	+
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	5UTR	16	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000015961|NM_001034657.1|TSPAN2	+
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000015961|NM_001034657.1|TSPAN2	+
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	3UTR	384	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000015961|NM_001034657.1|TSPAN2	+
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	mRNA	1041	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000018016|NM_001114515.2|NUPR1	+
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	5UTR	15	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000018016|NM_001114515.2|NUPR1	+
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000018016|NM_001114515.2|NUPR1	+
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	3UTR	309	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000018016|NM_001114515.2|NUPR1	+
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	mRNA	879	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000053755|NM_001163803.2|TMA7	+
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	5UTR	15	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000053755|NM_001163803.2|TMA7	+
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000053755|NM_001163803.2|TMA7	+
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	3UTR	147	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_UTR/bovine/assembled_transcripts.fa	ENSBTAG00000053755|NM_001163803.2|TMA7	+
