transcript_id	gene_id	strand	n_exons	n_internal_exons	first_exon_length	last_exon_length	internal_exon_mean	internal_exon_median	internal_exon_sd	intron_mean	intron_median	intron_sd
ENST00000295899.10	ENSG00000163634	-	8	6	34	330	88.0	78.5	28.865203966021095	4149.142857142857	954	8767.27837717368
ENST00000273668.7	ENSG00000145088	+	6	4	183	185	157.5	141.5	66.80568838055633	10064.0	10139	5086.54450486772
ENST00000342480.7	ENSG00000114631	+	8	6	105	535	255.83333333333334	168.5	269.51023480874835	5920.428571428572	2231	7450.453182125743
ENST00000254730.11	ENSG00000132394	+	7	5	343	578	256.8	165	227.19198929539746	42160.166666666664	33011.0	36879.594083539836
ENST00000476781.6	ENSG00000136522	-	7	5	112	711	106.2	97	33.282127335854	2500.0	2343.5	1560.6342300487966
ENST00000307944.6	ENSG00000213139	-	3	1	75	526	243.0	243	NA	2547.0	2547.0	3056.1155082882583
ENST00000324642.4	ENSG00000164363	+	12	10	257	342	149.6	149.0	29.53792289394921	1701.2727272727273	1080	1803.7451089834778
ENST00000396027.9	ENSG00000152422	+	8	6	69	630	150.5	152.5	23.889328161335975	39230.28571428572	27294	38758.42506137337
ENST00000282611.8	ENSG00000152705	+	8	6	183	176	166.0	156.0	41.74685616905781	6062.142857142857	990	9703.350373772477
ENST00000305264.8	ENSG00000171720	-	15	13	114	657	89.38461538461539	81	33.84409958800909	1002.5714285714286	345.0	1448.7035962853513
ENST00000438763.7	ENSG00000241106	-	6	4	142	489	173.75	190.5	122.49183646268024	582.8	442	553.3612743949471
ENST00000372876.2	ENSG00000124659	-	1	0	1606	1606	NA	NA	NA	NA	NA	NA
ENST00000369798.7	ENSG00000112742	+	22	20	65	409	124.6	124.5	37.09929776608773	1662.5238095238096	1298	1786.2148420346198
ENST00000326499.11	ENSG00000112303	-	7	5	234	622	231.6	193	98.5586120032136	2003.5	1329.5	1843.7334677224906
ENST00000344962.9	ENSG00000188732	+	7	5	85	555	152.6	174	54.14148132439673	3508.1666666666665	3350.5	1997.5330201692955
ENST00000297533.9	ENSG00000164897	-	3	1	60	816	419.0	419	NA	557.0	557.0	400.2224381515859
ENST00000276585.9	ENSG00000147586	-	3	1	224	432	182.0	182	NA	55352.5	55352.5	40301.55099372727
ENST00000448384.3	ENSG00000214954	+	8	6	226	368	125.0	114.5	53.12626469082877	16470.714285714286	10989	18062.247107473326
ENST00000257497.11	ENSG00000135046	+	13	11	60	343	90.72727272727273	94	20.852294401772237	1427.3333333333333	891.5	1709.8304186690739
ENST00000323927.3	ENSG00000176248	-	13	11	145	371	194.45454545454547	142	149.03178428534204	926.8333333333334	590.0	1165.2541535751943
ENST00000380554.5	ENSG00000196139	+	9	7	115	226	120.71428571428571	117	35.74779380471978	1510.875	1517.0	980.0045827152326
ENST00000378372.8	ENSG00000187522	+	14	12	154	214	116.16666666666667	104.0	48.92635157854997	2436.4615384615386	1407	3382.7554994753564
ENST00000299166.9	ENSG00000166136	-	5	3	105	190	127.66666666666667	127	28.005951748393294	1363.5	1362.5	1185.5318075305559
ENST00000397298.8	ENSG00000214026	+	5	3	48	345	93.33333333333333	83	26.083200212652844	2149.0	2252.5	1529.5713996628815
ENST00000241051.8	ENSG00000121690	+	9	7	151	321	181.28571428571428	143	102.32581017793814	1995.5	767.5	3197.0897033753326
ENST00000263774.9	ENSG00000213619	+	7	5	85	249	112.0	120	31.68595903550972	765.8333333333334	657.5	720.1387134897461
ENST00000265471.10	ENSG00000149541	-	5	3	121	504	275.6666666666667	291	93.94324527784492	1309.75	950.0	1292.876992086512
ENST00000280350.10	ENSG00000150773	-	6	4	38	208	211.0	227.0	62.79065747917175	1026.0	774	867.7289323285239
ENST00000329406.5	ENSG00000183395	-	3	1	312	243	199.0	199	NA	310.5	310.5	55.86143571373726
ENST00000229379.3	ENSG00000111775	+	3	1	117	277	143.0	143	NA	1040.5	1040.5	1260.7713908556143
ENST00000299601.10	ENSG00000166477	-	12	10	91	236	183.8	120.0	203.4757970865331	2871.7272727272725	1849	2489.295044421576
ENST00000219409.8	ENSG00000242173	+	6	4	163	396	101.25	80.5	53.149945123834954	291.2	99	393.9945431094192
ENST00000394863.8	ENSG00000140682	+	11	9	50	649	122.88888888888889	116	46.10435024063468	400.2	234.5	453.54328471614605
ENST00000458121.7	ENSG00000102981	+	3	1	142	879	223.0	223	NA	285.5	285.5	95.45941546018392
ENST00000302422.4	ENSG00000205544	-	4	2	98	235	56.5	56.5	34.64823227814083	225.66666666666666	267	110.93391426129944
ENST00000293831.13	ENSG00000161960	+	11	9	40	665	117.0	133	37.79880950506246	442.4	242.5	482.3747275487987
ENST00000261652.7	ENSG00000240505	-	5	3	104	717	190.0	186	54.11099703387473	7911.75	5844.0	8308.869011484054
ENST00000422514.7	ENSG00000198242	+	5	3	46	493	143.66666666666666	177	63.89313995518872	851.25	673.5	687.0251693594154
ENST00000314144.10	ENSG00000132141	-	14	12	204	257	115.5	107.5	34.833369580958376	2442.5384615384614	1606	2644.293529325133
ENST00000333213.11	ENSG00000182173	+	11	9	89	474	152.66666666666666	99	181.89213836777003	627.1	319.5	732.4540865398246
ENST00000300784.8	ENSG00000167363	+	6	4	163	780	112.5	107.5	31.416556144810016	2837.8	2122	2717.169427915749
ENST00000233997.4	ENSG00000172232	+	5	3	68	303	178.66666666666666	157	48.294237061303015	818.75	887.5	367.8408849851613
ENST00000233627.14	ENSG00000115286	+	8	6	36	194	88.0	79.0	51.83049295540223	1560.0	1932	1337.429001230844
ENST00000300961.10	ENSG00000167476	-	7	5	35	545	111.6	115	51.130225894279015	504.6666666666667	504.5	357.6650201888167
ENST00000292672.7	ENSG00000161082	+	13	11	338	319	112.63636363636364	129	40.55187474648423	5876.666666666667	2673.5	8752.76350472792
ENST00000294618.12	ENSG00000130158	-	48	46	128	245	131.67391304347825	133.5	45.020022384034164	1208.5106382978724	576	1708.7148981457485
ENST00000291842.10	ENSG00000160410	+	18	16	113	422	112.875	106.5	46.90113715750042	716.7058823529412	302	838.4196267909258
ENST00000270221.11	ENSG00000142227	+	5	3	59	253	112.33333333333333	103	25.32455988429677	1088.25	1013.5	498.4177464737788
ENST00000345358.12	ENSG00000087088	+	6	4	88	267	110.0	120.5	42.55976190409591	1225.8	585	1829.2503109197494
ENST00000376112.4	ENSG00000125968	+	2	0	525	458	NA	NA	NA	239.0	239	NA
ENST00000217182.6	ENSG00000101210	-	8	6	26	412	222.5	225.0	52.671624239242895	1328.142857142857	1326	618.0597135583337
ENST00000300527.9	ENSG00000142173	+	28	26	62	895	95.6923076923077	63.0	131.80584789174392	1158.962962962963	387	2633.895717833501
ENST00000248958.5	ENSG00000128228	+	3	1	222	406	197.0	197	NA	586.5	586.5	351.4320702497141
ENST00000216254.9	ENSG00000100412	+	18	16	66	496	135.75	128.0	44.97629005005489	3360.235294117647	904	7270.0184450368815
ENST00000380903.7	ENSG00000073169	+	9	7	580	412	184.42857142857142	181	49.070891381269824	1790.375	1143.5	1955.8327373342975
ENST00000156109.7	ENSG00000068394	-	11	9	189	349	124.44444444444444	124	42.0390030540423	867.1	570.0	899.6439357385293
ENST00000373829.8	ENSG00000147166	+	11	9	121	407	83.55555555555556	71	32.400274347260975	234.2	177.5	192.2185099191947
