bovine_ensembl_gene_id	human_gene_id	mouse_return_gene	3utr_pid_aln_mean	3utr_pid_shorter_mean	3utr_pid_longer_mean	3utr_pct_gaps_mean	3utr_coverage_mean	5utr_pid_aln_mean	5utr_pid_shorter_mean	5utr_pid_longer_mean	5utr_pct_gaps_mean	5utr_coverage_mean	cds_pid_aln_mean	cds_pid_shorter_mean	cds_pid_longer_mean	cds_pct_gaps_mean	cds_coverage_mean	alignment_file_3utr	alignment_file_5utr	alignment_file_cds
ENSBTAG00000034936	ENSG00000001629	ENSMUSG00000040351	66.0414	79.7529	73.6077	21.2256	94.3724	40.0501	72.6353	48.1453	49.7243	89.1729	88.5763	89.7676	89.0068	1.4822	99.6673	alignment_seq_extracted/aln_fasta/ENSBTAG00000034936__ENSG00000001629__ENSMUSG00000040351.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000034936__ENSG00000001629__ENSMUSG00000040351.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000034936__ENSG00000001629__ENSMUSG00000040351.CDS.aln.fa
ENSBTAG00000001992	ENSG00000001630	ENSMUSG00000001467	28.2435	50.512	35.0405	49.7206	88.8536	17.9195	70.0327	35.882	74.5634	75.3986	87.5625	88.4181	87.6194	0.9785	99.9348	alignment_seq_extracted/aln_fasta/ENSBTAG00000001992__ENSG00000001630__ENSMUSG00000001467.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001992__ENSG00000001630__ENSMUSG00000001467.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001992__ENSG00000001630__ENSMUSG00000001467.CDS.aln.fa
ENSBTAG00000002750	ENSG00000001631	ENSMUSG00000000600	23.6559	76.6077	40.9686	69.6174	77.0943	29.2274	52.2158	35.351	47.4878	88.1686	91.4217	91.4217	91.4217	0.0	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000002750__ENSG00000001631__ENSMUSG00000000600.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000002750__ENSG00000001631__ENSMUSG00000000600.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000002750__ENSG00000001631__ENSMUSG00000000600.CDS.aln.fa
ENSBTAG00000005225	ENSG00000002016	ENSMUSG00000030166	11.004	53.3275	17.1189	80.9237	76.5462	38.4615	56.9652	40.8492	32.7635	95.7265	70.2968	75.9428	74.315	10.3017	97.4982	alignment_seq_extracted/aln_fasta/ENSBTAG00000005225__ENSG00000002016__ENSMUSG00000030166.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000005225__ENSG00000002016__ENSMUSG00000030166.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000005225__ENSG00000002016__ENSMUSG00000030166.CDS.aln.fa
ENSBTAG00000012511	ENSG00000002330	ENSMUSG00000024959	25.021	68.2354	26.2869	65.0714	95.7179	7.2524	76.4858	16.1526	89.8187	72.6639	62.1386	76.7315	72.9708	27.0595	93.3442	alignment_seq_extracted/aln_fasta/ENSBTAG00000012511__ENSG00000002330__ENSMUSG00000024959.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012511__ENSG00000002330__ENSMUSG00000024959.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012511__ENSG00000002330__ENSMUSG00000024959.CDS.aln.fa
ENSBTAG00000005989	ENSG00000002549	ENSMUSG00000039263	24.4471	54.1628	39.0314	55.4081	81.7451	6.2625	46.9275	9.2386	89.3254	74.267	52.4839	57.5641	57.2967	14.1243	97.0583	alignment_seq_extracted/aln_fasta/ENSBTAG00000005989__ENSG00000002549__ENSMUSG00000039263.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000005989__ENSG00000002549__ENSMUSG00000039263.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000005989__ENSG00000002549__ENSMUSG00000039263.CDS.aln.fa
ENSBTAG00000070890	ENSG00000002586	ENSMUSG00000035776	10.912	44.2164	17.111	75.9612	78.7607	16.4154	53.4024	22.8288	74.8744	82.7471	40.9199	51.4743	47.4471	26.0313	93.3144	alignment_seq_extracted/aln_fasta/ENSBTAG00000070890__ENSG00000002586__ENSMUSG00000035776.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000070890__ENSG00000002586__ENSMUSG00000035776.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000070890__ENSG00000002586__ENSMUSG00000035776.CDS.aln.fa
ENSBTAG00000030587	ENSG00000002834	ENSMUSG00000038366	52.0375	63.7431	57.3442	24.3582	95.9963	54.2005	80.9007	56.0426	35.0949	98.2385	90.6145	91.5397	90.8484	1.0101	99.7475	alignment_seq_extracted/aln_fasta/ENSBTAG00000030587__ENSG00000002834__ENSMUSG00000038366.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000030587__ENSG00000002834__ENSMUSG00000038366.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000030587__ENSG00000002834__ENSMUSG00000038366.CDS.aln.fa
ENSBTAG00000020321	ENSG00000002919	ENSMUSG00000020876	25.3774	47.9111	28.6366	56.0688	90.4589	26.5385	76.0744	41.9306	66.7949	77.8205	70.9665	76.3771	73.0081	7.3059	97.7169	alignment_seq_extracted/aln_fasta/ENSBTAG00000020321__ENSG00000002919__ENSMUSG00000020876.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000020321__ENSG00000002919__ENSMUSG00000020876.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000020321__ENSG00000002919__ENSMUSG00000020876.CDS.aln.fa
ENSBTAG00000018207	ENSG00000003056	ENSMUSG00000007458	59.2201	68.8175	61.897	17.2285	98.3697	35.0175	68.1178	37.3737	49.2632	95.6491	87.1825	87.7078	87.2869	0.5952	99.881	alignment_seq_extracted/aln_fasta/ENSBTAG00000018207__ENSG00000003056__ENSMUSG00000007458.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018207__ENSG00000003056__ENSMUSG00000007458.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018207__ENSG00000003056__ENSMUSG00000007458.CDS.aln.fa
ENSBTAG00000012212	ENSG00000003137	ENSMUSG00000063415	48.958	62.8776	53.6181	28.9842	97.0905	19.0304	86.4553	19.423	72.516	91.9071	89.7336	89.7336	89.7336	0.0	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000012212__ENSG00000003137__ENSMUSG00000063415.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012212__ENSG00000003137__ENSMUSG00000063415.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012212__ENSG00000003137__ENSMUSG00000063415.CDS.aln.fa
ENSBTAG00000007395	ENSG00000003393	ENSMUSG00000026024	45.8996	69.2952	50.7823	36.8829	93.3905	36.1111	60.4179	43.6888	42.1569	89.5425	87.8435	88.0706	87.8607	0.2815	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000007395__ENSG00000003393__ENSMUSG00000026024.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000007395__ENSG00000003393__ENSMUSG00000026024.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000007395__ENSG00000003393__ENSMUSG00000026024.CDS.aln.fa
ENSBTAG00000001113	ENSG00000003509	ENSMUSG00000024082	13.867	44.9358	17.9665	70.6313	81.041	37.5	56.6014	41.2162	34.0278	92.3611	83.8224	84.6402	84.0121	1.1287	99.9248	alignment_seq_extracted/aln_fasta/ENSBTAG00000001113__ENSG00000003509__ENSMUSG00000024082.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001113__ENSG00000003509__ENSMUSG00000024082.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001113__ENSG00000003509__ENSMUSG00000024082.CDS.aln.fa
ENSBTAG00000010085	ENSG00000003989	ENSMUSG00000031596	13.3078	61.7263	21.4551	79.9501	76.7038	35.3428	53.9571	47.164	45.6265	86.2884	86.2963	86.4272	86.3399	0.1515	99.9495	alignment_seq_extracted/aln_fasta/ENSBTAG00000010085__ENSG00000003989__ENSMUSG00000031596.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000010085__ENSG00000003989__ENSMUSG00000031596.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000010085__ENSG00000003989__ENSMUSG00000031596.CDS.aln.fa
ENSBTAG00000002816	ENSG00000004139	ENSMUSG00000050132	11.3094	59.1078	22.9482	82.8314	74.1922	46.2745	63.0275	49.853	28.0784	94.1961	87.5019	87.9847	87.6629	0.5487	99.8171	alignment_seq_extracted/aln_fasta/ENSBTAG00000002816__ENSG00000004139__ENSMUSG00000050132.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000002816__ENSG00000004139__ENSMUSG00000050132.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000002816__ENSG00000004139__ENSMUSG00000050132.CDS.aln.fa
ENSBTAG00000008116	ENSG00000004142	ENSMUSG00000001100	21.8536	64.4546	25.3955	69.144	86.4189	49.0196	88.5718	56.3947	44.8179	88.7955	90.1837	90.1837	90.1837	0.0	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000008116__ENSG00000004142__ENSMUSG00000001100.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000008116__ENSG00000004142__ENSMUSG00000001100.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000008116__ENSG00000004142__ENSMUSG00000001100.CDS.aln.fa
ENSBTAG00000001814	ENSG00000004399	ENSMUSG00000030123	49.566	60.7759	54.2213	24.3634	97.1644	38.0952	92.2722	40.0302	58.254	96.6667	87.5029	87.7755	87.5928	0.3451	99.931	alignment_seq_extracted/aln_fasta/ENSBTAG00000001814__ENSG00000004399__ENSMUSG00000030123.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001814__ENSG00000004399__ENSMUSG00000030123.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000001814__ENSG00000004399__ENSMUSG00000030123.CDS.aln.fa
ENSBTAG00000017605	ENSG00000004455	ENSMUSG00000028792	14.5882	68.11	15.4311	80.8814	84.7544	28.4153	67.0909	40.7071	58.7432	81.694	88.292	89.0278	88.5342	0.8264	99.7245	alignment_seq_extracted/aln_fasta/ENSBTAG00000017605__ENSG00000004455__ENSMUSG00000028792.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000017605__ENSG00000004455__ENSMUSG00000028792.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000017605__ENSG00000004455__ENSMUSG00000028792.CDS.aln.fa
ENSBTAG00000007605	ENSG00000004478	ENSMUSG00000030357	22.7404	74.6435	38.8092	70.2942	77.0157	28.9017	56.4256	29.4998	48.9403	98.8439	86.1836	86.3086	86.1836	0.1449	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000007605__ENSG00000004478__ENSMUSG00000030357.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000007605__ENSG00000004478__ENSMUSG00000030357.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000007605__ENSG00000004478__ENSMUSG00000030357.CDS.aln.fa
ENSBTAG00000009500	ENSG00000004487	ENSMUSG00000036940	21.0046	68.9136	36.4063	71.135	77.4625	62.8019	77.5802	67.1835	22.9469	96.8599	90.7618	91.0707	90.7959	0.3797	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000009500__ENSG00000004487__ENSMUSG00000036940.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000009500__ENSG00000004487__ENSMUSG00000036940.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000009500__ENSG00000004487__ENSMUSG00000036940.CDS.aln.fa
ENSBTAG00000006328	ENSG00000004534	ENSMUSG00000032582	84.153	87.7451	85.789	5.4645	99.4536	29.0456	80.4937	34.151	63.7621	86.5837	89.7687	90.1149	89.8471	0.4152	99.9407	alignment_seq_extracted/aln_fasta/ENSBTAG00000006328__ENSG00000004534__ENSMUSG00000032582.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000006328__ENSG00000004534__ENSMUSG00000032582.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000006328__ENSG00000004534__ENSMUSG00000032582.CDS.aln.fa
ENSBTAG00000021083	ENSG00000004700	ENSMUSG00000030243	38.9727	46.102	44.7345	25.4208	97.0492	8.0729	43.9293	18.5351	83.138	74.4141	69.4978	83.5867	74.028	16.8587	94.4089	alignment_seq_extracted/aln_fasta/ENSBTAG00000021083__ENSG00000004700__ENSMUSG00000030243.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000021083__ENSG00000004700__ENSMUSG00000030243.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000021083__ENSG00000004700__ENSMUSG00000030243.CDS.aln.fa
ENSBTAG00000014255	ENSG00000004766	ENSMUSG00000001376	17.1383	72.236	29.3574	77.741	76.4547	59.3381	75.7861	61.449	21.9858	96.9267	88.1377	90.5124	88.921	2.6236	99.1255	alignment_seq_extracted/aln_fasta/ENSBTAG00000014255__ENSG00000004766__ENSMUSG00000001376.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014255__ENSG00000004766__ENSMUSG00000001376.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014255__ENSG00000004766__ENSMUSG00000001376.CDS.aln.fa
ENSBTAG00000014069	ENSG00000004799	ENSMUSG00000019577	48.9023	61.0743	57.0552	27.4287	93.1113	43.4174	58.6254	45.4449	29.972	97.7591	86.5483	87.3271	86.6207	0.9685	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000014069__ENSG00000004799__ENSMUSG00000019577.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014069__ENSG00000004799__ENSMUSG00000019577.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000014069__ENSG00000004799__ENSMUSG00000019577.CDS.aln.fa
ENSBTAG00000010756	ENSG00000004866	ENSMUSG00000029534	14.3833	57.256	25.979	74.6854	78.1014	11.4815	74.8485	23.7963	84.4444	74.0741	86.8635	90.598	87.4128	4.2589	99.4889	alignment_seq_extracted/aln_fasta/ENSBTAG00000010756__ENSG00000004866__ENSMUSG00000029534.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000010756__ENSG00000004866__ENSMUSG00000029534.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000010756__ENSG00000004866__ENSMUSG00000029534.CDS.aln.fa
ENSBTAG00000012113	ENSG00000004961	ENSMUSG00000031352	20.5614	65.1512	22.6622	69.9883	93.6374	17.506	45.9627	21.6386	65.9472	85.6115	82.0451	83.7801	82.3495	2.0531	99.6377	alignment_seq_extracted/aln_fasta/ENSBTAG00000012113__ENSG00000004961__ENSMUSG00000031352.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012113__ENSG00000004961__ENSMUSG00000031352.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012113__ENSG00000004961__ENSMUSG00000031352.CDS.aln.fa
ENSBTAG00000003075	ENSG00000004975	ENSMUSG00000020888	31.6456	53.6188	33.4967	50.5726	96.3231	35.9862	47.5402	41.4006	35.8708	95.5017	80.3119	86.9591	83.0965	8.3124	97.452	alignment_seq_extracted/aln_fasta/ENSBTAG00000003075__ENSG00000004975__ENSMUSG00000020888.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000003075__ENSG00000004975__ENSMUSG00000020888.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000003075__ENSG00000004975__ENSMUSG00000020888.CDS.aln.fa
ENSBTAG00000020922	ENSG00000005007	ENSMUSG00000058301	10.7312	86.1169	11.0404	82.4881	84.0646	52.3622	64.9509	55.2798	20.21	95.5381	86.7014	89.5995	87.7228	3.3247	98.9303	alignment_seq_extracted/aln_fasta/ENSBTAG00000020922__ENSG00000005007__ENSMUSG00000058301.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000020922__ENSG00000005007__ENSMUSG00000058301.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000020922__ENSG00000005007__ENSMUSG00000058301.CDS.aln.fa
ENSBTAG00000005650	ENSG00000005020	ENSMUSG00000059182	37.4748	67.1502	46.7368	48.0703	85.6579	45.0794	61.5998	54.3854	40.7937	95.7143	88.9815	89.2293	89.0621	0.3704	100.0	alignment_seq_extracted/aln_fasta/ENSBTAG00000005650__ENSG00000005020__ENSMUSG00000059182.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000005650__ENSG00000005020__ENSMUSG00000059182.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000005650__ENSG00000005020__ENSMUSG00000059182.CDS.aln.fa
ENSBTAG00000046037	ENSG00000005022	ENSMUSG00000016319	64.4083	82.4649	68.5368	25.0226	97.019	40.2116	68.1481	50.6609	45.2381	87.037	91.7778	92.0847	91.8807	0.3333	99.8889	alignment_seq_extracted/aln_fasta/ENSBTAG00000046037__ENSG00000005022__ENSMUSG00000016319.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000046037__ENSG00000005022__ENSMUSG00000016319.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000046037__ENSG00000005022__ENSMUSG00000016319.CDS.aln.fa
ENSBTAG00000012995	ENSG00000005059	ENSMUSG00000027994	14.0489	46.7251	16.0436	70.1131	89.9237	25.1984	50.665	33.1499	54.7619	85.3175	66.9761	78.5031	70.9956	15.0211	95.1055	alignment_seq_extracted/aln_fasta/ENSBTAG00000012995__ENSG00000005059__ENSMUSG00000027994.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012995__ENSG00000005059__ENSMUSG00000027994.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000012995__ENSG00000005059__ENSMUSG00000027994.CDS.aln.fa
ENSBTAG00000032083	ENSG00000005100	ENSMUSG00000040620	39.2931	52.5388	49.2997	38.3676	92.6041	27.2876	67.5991	32.2166	61.4379	85.9477	87.1155	88.0692	87.3159	1.2712	99.9529	alignment_seq_extracted/aln_fasta/ENSBTAG00000032083__ENSG00000005100__ENSMUSG00000040620.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000032083__ENSG00000005100__ENSMUSG00000040620.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000032083__ENSG00000005100__ENSMUSG00000040620.CDS.aln.fa
ENSBTAG00000018689	ENSG00000005156	ENSMUSG00000020697	7.8338	58.9807	15.1048	87.7466	73.0905	36.0656	69.5382	42.4327	48.9071	87.7049	84.1925	86.7211	85.8219	3.8425	99.0394	alignment_seq_extracted/aln_fasta/ENSBTAG00000018689__ENSG00000005156__ENSMUSG00000020697.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018689__ENSG00000005156__ENSMUSG00000020697.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018689__ENSG00000005156__ENSMUSG00000020697.CDS.aln.fa
ENSBTAG00000018690	ENSG00000005175	ENSMUSG00000042743	23.4706	44.172	28.4248	54.1362	91.2402	21.3879	49.963	24.9315	57.4516	90.785	40.2985	58.7443	41.3132	41.5267	97.6835	alignment_seq_extracted/aln_fasta/ENSBTAG00000018690__ENSG00000005175__ENSMUSG00000042743.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018690__ENSG00000005175__ENSMUSG00000042743.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000018690__ENSG00000005175__ENSMUSG00000042743.CDS.aln.fa
ENSBTAG00000006449	ENSG00000005189	ENSMUSG00000047417	11.1991	52.8028	15.3858	78.5919	80.6381	20.9719	52.3691	27.0865	62.0631	83.1202	36.2361	60.0779	47.4908	41.3493	87.1283	alignment_seq_extracted/aln_fasta/ENSBTAG00000006449__ENSG00000005189__ENSMUSG00000047417.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000006449__ENSG00000005189__ENSMUSG00000047417.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000006449__ENSG00000005189__ENSMUSG00000047417.CDS.aln.fa
ENSBTAG00000004524	ENSG00000005206	ENSMUSG00000035206	8.7397	82.2389	8.8506	81.699	84.9327	25.3012	55.9052	28.6948	55.4217	90.3614	62.8413	79.7271	68.8231	22.5623	93.4893	alignment_seq_extracted/aln_fasta/ENSBTAG00000004524__ENSG00000005206__ENSMUSG00000035206.3UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000004524__ENSG00000005206__ENSMUSG00000035206.5UTR.aln.fa	alignment_seq_extracted/aln_fasta/ENSBTAG00000004524__ENSG00000005206__ENSMUSG00000035206.CDS.aln.fa
