bovine_gene	bovine_id	human_gene_id	human_transcript_id	mouse_return_gene	human_half_life	mouse_half_life	human_te	mouse_te	human_RBH	mouse_RBH	confidence_tier
RAD52	F6QFR0	ENSG00000002016	ENST00000358495	ENSMUSG00000030166	-4.63777819959463	-4.39903368277094	-0.361765885661972	-0.38254665442807	TRUE	TRUE	1
BAD	F1MUT9	ENSG00000002330	ENST00000309032	ENSMUSG00000024959	4.49180650408091	2.72456165737404	0.28206340943421	0.121179555357515	TRUE	TRUE	1
LAP3	P00727	ENSG00000002549	ENST00000226299	ENSMUSG00000039263	6.73573407224717	2.82344729332442	0.925435532051282	-0.330677262991158	TRUE	TRUE	1
CD99	A0AAA9S2J6	ENSG00000002586	ENST00000381192	ENSMUSG00000035776	9.99104304264904	3.08916858336958	1.1897038393718	0.760756558592058	TRUE	TRUE	1
LASP1	Q3B7M5	ENSG00000002834	ENST00000318008	ENSMUSG00000038366	2.75299292937987	2.16880504293985	1.45847332789744	1.36943287846019	TRUE	TRUE	1
SNX11	Q08DD7	ENSG00000002919	ENST00000359238	ENSMUSG00000020876	-2.69469523994065	-1.81199583576814	-0.140790990797297	-0.312799489493142	TRUE	TRUE	1
M6PR	P11456	ENSG00000003056	ENST00000000412	ENSMUSG00000007458	3.33250981810299	1.33438048955659	0.962090358564102	0.910781705620216	TRUE	TRUE	1
CYP26B1	E1BHJ4	ENSG00000003137	ENST00000001146	ENSMUSG00000063415	-3.16269028081692	-0.422783258349632	0.449790444574468	0.866059548380779	TRUE	TRUE	1
ALS2	F1MDF3	ENSG00000003393	ENST00000264276	ENSMUSG00000026024	-2.44624684216545	-1.25918335723542	-0.593505373555556	-0.512436013224986	TRUE	TRUE	1
NDUFAF7	F1MJQ5	ENSG00000003509	ENST00000002125	ENSMUSG00000024082	-0.0553982663916717	1.31329224708374	0.224690076105263	0.332430813861027	TRUE	TRUE	1
RBM5	Q1RMU5	ENSG00000003756	ENST00000347869	ENSMUSG00000031060	-5.96029593233879	-0.608598751855186	0.00757098477922078	-0.272377452674957	TRUE	TRUE	1
SLC7A2	A0AAA9SB84	ENSG00000003989	ENST00000494857	ENSMUSG00000031596	-0.105250892514826	-0.622697490796286	0.842510355327869	1.04194790010043	TRUE	TRUE	1
SARM1	E1BIR9	ENSG00000004139	ENST00000585482	ENSMUSG00000050132	1.28570046411493	4.06012146378701	0.11853128387037	0.287678327123959	TRUE	TRUE	1
POLDIP2	A5D9H9	ENSG00000004142	ENST00000540200	ENSMUSG00000001100	5.43083272937609	1.67379029694199	0.482160689105263	0.362938033573618	TRUE	TRUE	1
PLXND1	F1N4C5	ENSG00000004399	ENST00000324093	ENSMUSG00000030123	4.83700582102289	0.547325618157965	-0.729105508955882	-0.520312625945368	TRUE	TRUE	1
AK2	P08166	ENSG00000004455	ENST00000672715	ENSMUSG00000028792	6.46224333472263	2.21056113381741	1.1186986250641	1.15449236250861	TRUE	TRUE	1
FKBP4	Q9TRY0	ENSG00000004478	ENST00000001008	ENSMUSG00000030357	5.55929602632673	4.24727645100555	1.08966600612821	1.00447026917639	TRUE	TRUE	1
KDM1A	F1MBS5	ENSG00000004487	ENST00000400181	ENSMUSG00000036940	2.95307661007945	0.878963207303493	0.523246659025641	0.575541249112399	TRUE	TRUE	1
RBM6	E1BC65	ENSG00000004534	ENST00000266022	ENSMUSG00000032582	2.08122537805362	-1.47432165183702	-0.558756177864865	-0.393145142456191	TRUE	TRUE	1
CAMKK1	A0AAA9S954	ENSG00000004660	ENST00000348335	ENSMUSG00000020785	-3.7337422084136	-0.103845357371572	-0.23820192265	-0.129914073614577	TRUE	TRUE	1
RECQL	A0AAA9S5G9	ENSG00000004700	ENST00000444129	ENSMUSG00000030243	4.02625485757774	1.57167200816769	0.758115577423077	0.274229194962607	TRUE	TRUE	1
VPS50	F1ML08	ENSG00000004766	ENST00000305866	ENSMUSG00000001376	-0.477045105899645	1.64150978129461	0.105025190821918	0.0255603821734543	TRUE	TRUE	1
PDK4	A6QR49	ENSG00000004799	ENST00000005178	ENSMUSG00000019577	-8.32530021846802	-8.86890097570051	0.9529119255	1.14131351443936	TRUE	TRUE	1
SLC25A13	A0A3Q1MJF5	ENSG00000004864	ENST00000265631	ENSMUSG00000015112	2.90342312740418	-0.658224760213527	0.327836391310811	0.527646255117285	TRUE	TRUE	1
ST7	A4D7R9	ENSG00000004866	ENST00000323984	ENSMUSG00000029534	-0.181877523772557	0.219492909931238	-0.212684562788732	-0.36975442393428	TRUE	TRUE	1
CDC27	A7Z061	ENSG00000004897	ENST00000066544	ENSMUSG00000020687	-1.45445076540177	-2.51509960093231	0.250480157423077	0.325205242130362	TRUE	TRUE	1
HCCS	A5PJG7	ENSG00000004961	ENST00000380762	ENSMUSG00000031352	-0.882917324434317	-0.628036598638287	0.735908233090909	0.825499085914185	TRUE	TRUE	1
DVL2	E1BK34	ENSG00000004975	ENST00000005340	ENSMUSG00000020888	1.60244378922105	-2.72067323033158	-0.139557571333333	0.392534181987289	TRUE	TRUE	1
UPF1	E1BEK9	ENSG00000005007	ENST00000262803	ENSMUSG00000058301	0.169319981340859	0.666529323854059	0.705964702025641	0.933053343788289	TRUE	TRUE	1
SKAP2	Q32LP7	ENSG00000005020	ENST00000345317	ENSMUSG00000059182	6.09354966779937	4.27902786126465	1.03659584126389	0.54599185049324	TRUE	TRUE	1
SLC25A5	Q8SQH5	ENSG00000005022	ENST00000317881	ENSMUSG00000016319	7.50214231005304	4.07684007654827	1.55470079846154	1.80811665462481	TRUE	TRUE	1
MCUB	A0AAA9TH94	ENSG00000005059	ENST00000394650	ENSMUSG00000027994	5.70109052423197	2.38991408256858	-0.2900881321	-0.117719938849774	TRUE	TRUE	1
POLR2J	Q32P79	ENSG00000005075	ENST00000292614	ENSMUSG00000039771	8.5382148056568	0.821444889021704	0.59268101276	0.833274788161992	TRUE	TRUE	1
DHX33	A0AAA9S7E2	ENSG00000005100	ENST00000225296	ENSMUSG00000040620	-1.67694337774853	-4.33665165927602	0.26658895064	0.261387319960092	TRUE	TRUE	1
LIG3	F1MQY1	ENSG00000005156	ENST00000378526	ENSMUSG00000020697	1.60470191862929	-1.60136210761047	-0.0506911375479452	0.286597820813102	TRUE	TRUE	1
RPAP3	A0AAA9SL80	ENSG00000005175	ENST00000005386	ENSMUSG00000042743	1.58031090388531	-2.80252472940257	0.697542479921053	0.519372643653251	TRUE	TRUE	1
REXO5	Q2T9U5	ENSG00000005189	ENST00000261377	ENSMUSG00000047417	3.40187612515401	-1.67825509610296	-0.443534542588235	-0.975107499787224	TRUE	TRUE	1
CIAPIN1	Q5EAC7	ENSG00000005194	ENST00000394391	ENSMUSG00000031781	3.295739654746	2.12262893163338	0.960249801272727	1.04128083100057	TRUE	TRUE	1
SPPL2B	E1BKF8	ENSG00000005206	ENST00000613503	ENSMUSG00000035206	6.03364596808781	0.139472903227602	-0.1375835821	0.0671502576496226	TRUE	TRUE	1
ATOSB	Q5BIM2	ENSG00000005238	ENST00000322813	ENSMUSG00000036002	-6.58419178611749	-0.667558885452865	-1.50302580277193	-1.33113354896227	TRUE	TRUE	1
PRKAR2B	P31322	ENSG00000005249	ENST00000265717	ENSMUSG00000002997	5.77563701049068	1.78694662575698	0.236107822555556	0.551576480575458	TRUE	TRUE	1
MSL3	E1BFW0	ENSG00000005302	ENST00000312196	ENSMUSG00000031358	3.70484244964994	1.82747340538208	-0.334287315689189	-0.130022431097252	TRUE	TRUE	1
CREBBP	F1MD32	ENSG00000005339	ENST00000262367	ENSMUSG00000022521	-5.77832462319572	-4.28217213501483	-0.412406572767123	0.0838230652803166	TRUE	TRUE	1
GCFC2	E1BDX0	ENSG00000005436	ENST00000321027	ENSMUSG00000022974	1.25763793567173	-2.02654924174616	-0.222052653616438	-0.729536279632431	TRUE	TRUE	1
WDR54	A0AAF6DMI3	ENSG00000005448	ENST00000348227	ENSMUSG00000030032	8.06094995539578	0.37940110778477	0.247331695797297	0.309913963957911	TRUE	TRUE	1
CROT	O19094	ENSG00000005469	ENST00000331536	ENSMUSG00000003623	1.44265951661117	1.47824162905417	0.437714405442857	0.638669280352792	TRUE	TRUE	1
KMT2E	F1MFD2	ENSG00000005483	ENST00000311117	ENSMUSG00000029004	-6.61891499336828	-5.06459700925892	-1.30435086567606	-0.998183902924421	TRUE	TRUE	1
IBTK	A0A3Q1MJU3	ENSG00000005700	ENST00000306270	ENSMUSG00000035941	-0.880790173411205	-4.02705226333417	-0.657316795972603	-0.597040407430238	TRUE	TRUE	1
FBXL3	A0AAA9T6A3	ENSG00000005812	ENST00000355619	ENSMUSG00000022124	-6.54309106995372	-4.46588638909848	0.332909350233766	0.11006458279232	TRUE	TRUE	1
PDK2	F6Q200	ENSG00000005882	ENST00000503176	ENSMUSG00000038967	6.03768364377727	4.20330525142654	0.372140591181818	0.847361841883149	TRUE	TRUE	1
ITGA3	F1MMS9	ENSG00000005884	ENST00000320031	ENSMUSG00000001507	3.82389125123848	2.21122402754306	0.491273849882353	0.626906719778274	TRUE	TRUE	1
ZFX	O62836	ENSG00000005889	ENST00000304543	ENSMUSG00000079509	-8.58006336437946	-7.92398595730944	0.165003814472973	0.435380701884089	TRUE	TRUE	1
LAMP2	G3MXJ5	ENSG00000005893	ENST00000200639	ENSMUSG00000016534	8.0662418983343	4.96053995525423	1.5636349196282	1.26717694465122	TRUE	TRUE	1
GDE1	Q3T0T0	ENSG00000006007	ENST00000353258	ENSMUSG00000033917	3.95941490303511	2.74919675162255	-0.195865462526316	-0.218395992749603	TRUE	TRUE	1
CRLF1	F1ML91	ENSG00000006016	ENST00000392386	ENSMUSG00000005268	5.4585356762377	-0.262443241674092	0.263872563647059	0.750872123574485	TRUE	TRUE	1
OSBPL7	E1BBD8	ENSG00000006025	ENST00000007414	ENSMUSG00000038534	0.528917984120597	-3.2876110591645	-0.81073018984375	-0.332175818052654	TRUE	TRUE	1
TMEM98	F1MX62	ENSG00000006042	ENST00000579849	ENSMUSG00000035413	8.04530404502336	5.37843618347007	0.225864586083333	0.38970276306956	TRUE	TRUE	1
MAP3K14	E1BL08	ENSG00000006062	ENST00000344686	ENSMUSG00000020941	-10.5503637155955	-8.03844418690515	-0.688014911142857	-0.46923765557078	TRUE	TRUE	1
TMEM132A	F1MEA1	ENSG00000006118	ENST00000453848	ENSMUSG00000024736	7.3625506913278	1.61406033619529	-0.362229047633333	-0.211717993877692	TRUE	TRUE	1
AP2B1	Q08DS7	ENSG00000006125	ENST00000610402	ENSMUSG00000035152	7.60306973101186	5.05161978206953	0.918750008448718	1.13484860992966	TRUE	TRUE	1
ZNF263	F1N176	ENSG00000006194	ENST00000219069	ENSMUSG00000022529	-7.50311201340108	-6.62015121603788	-1.0469313347971	-0.320034259812455	TRUE	TRUE	1
CX3CL1	F1N6Z2	ENSG00000006210	ENST00000006053	ENSMUSG00000031778	-10.5421673222508	-0.208153692178268	1.111617180175	1.19909371458643	TRUE	TRUE	1
TNFRSF12A	A0AAA9TS17	ENSG00000006327	ENST00000326577	ENSMUSG00000023905	-5.65254905523179	-4.87938619195924	1.33275468237333	1.0210184235049	TRUE	TRUE	1
RALA	Q3ZCK2	ENSG00000006451	ENST00000005257	ENSMUSG00000008859	0.311430236098021	2.74152193022874	1.10037656809091	0.324669294899053	TRUE	TRUE	1
BAIAP2L1	F1MXR0	ENSG00000006453	ENST00000005260	ENSMUSG00000038859	0.933827638451909	-1.25795448525692	0.208546102257576	0.612220942182781	TRUE	TRUE	1
KDM7A	F1N542	ENSG00000006459	ENST00000397560	ENSMUSG00000042599	-5.22380960876853	1.89959722426138	-0.0964210370142857	0.0785139857907784	TRUE	TRUE	1
ETV1	Q2KIC2	ENSG00000006468	ENST00000430479	ENSMUSG00000004151	-1.37030876481751	-1.51878568976252	0.305508458098361	0.607477415417094	TRUE	TRUE	1
AGK	A6QR07	ENSG00000006530	ENST00000649286	ENSMUSG00000029916	3.26342878347312	-0.92945222298747	0.545523813376623	0.403559257683096	TRUE	TRUE	1
ALDH3B1	A0AAF7AI76	ENSG00000006534	ENST00000342456	ENSMUSG00000010025	5.35469301445297	1.73222788322304	0.0494177704354839	0.664503040300955	TRUE	TRUE	1
PHTF2	F1MNW1	ENSG00000006576	ENST00000422959	ENSMUSG00000039987	1.87367027007201	-0.367898534179837	-0.145190144413333	-0.640546547622468	TRUE	TRUE	1
FARP2	A0A3Q1LUJ0	ENSG00000006607	ENST00000264042	ENSMUSG00000025555	-1.01355047937698	1.12981843413809	0.0138801794657534	0.283085715485196	TRUE	TRUE	1
GGCT	A0AAF6YUX3	ENSG00000006625	ENST00000275428	ENSMUSG00000002797	6.44128679545169	0.312806718897202	0.904196273355263	0.47745986057731	TRUE	TRUE	1
DBF4	E1BCW4	ENSG00000006634	ENST00000265728	ENSMUSG00000002297	-5.79215089198425	-3.84260822087855	-0.569554289728572	-0.577753438756058	TRUE	TRUE	1
IFRD1	F1MN39	ENSG00000006652	ENST00000403825	ENSMUSG00000001627	-5.36212502375278	-7.94231108328608	-0.451760494054054	-0.29342561956674	TRUE	TRUE	1
COX10	A0AAA9U154	ENSG00000006695	ENST00000261643	ENSMUSG00000042148	-3.83171977674625	-2.82784926464637	-0.281861754739726	0.0550846563452191	TRUE	TRUE	1
GTF2IRD1	E1BN85	ENSG00000006704	ENST00000424337	ENSMUSG00000023079	-3.60512837765667	-2.42861827625979	-0.585353230101449	-0.468806688317655	TRUE	TRUE	1
PAF1	Q2KJ14	ENSG00000006712	ENST00000221265	ENSMUSG00000003437	-0.872357909166665	-0.86129029184722	0.491826393105263	0.489089977826805	TRUE	TRUE	1
ARHGAP44	F1MFA5	ENSG00000006740	ENST00000379672	ENSMUSG00000033389	0.260413748185902	0.99163315530114	-0.966859167756757	-0.941171563283194	TRUE	TRUE	1
LOC516494	A0A3Q1M3E6	ENSG00000006756	ENST00000381154	ENSMUSG00000020604	4.04195421131391	4.53305671015655	0.34422662447619	-0.445031139187705	TRUE	TRUE	1
PNPLA4	A0ABI0NRM8	ENSG00000006757	ENST00000381042	ENSMUSG00000025509	5.98990462251199	2.77825960282973	-0.301089974797101	0.606617707697548	TRUE	TRUE	1
ADIPOR2	Q32KM7	ENSG00000006831	ENST00000357103	ENSMUSG00000030168	-1.64940974958543	-1.34967668688612	0.285093243402597	0.346876324575549	TRUE	TRUE	1
CDKL3	E1BM19	ENSG00000006837	ENST00000265334	ENSMUSG00000020389	-0.647467707941012	5.81362767783355	-0.397451103115385	-0.974588099131397	TRUE	TRUE	1
MARK4	A0A3Q1MUZ6	ENSG00000007047	ENST00000262891	ENSMUSG00000030397	0.133116607170814	-3.51561604729917	-0.88070309657971	-0.455857224185856	TRUE	TRUE	1
CCDC124	Q2TBV6	ENSG00000007080	ENST00000445755	ENSMUSG00000007721	10.4926030408894	5.24109781899193	0.942121010679487	0.577092251260288	TRUE	TRUE	1
PAFAH1B1	A5D7P3	ENSG00000007168	ENST00000397195	ENSMUSG00000020745	-1.59179810510737	-2.9921781931255	0.955764701820513	1.0108288848461	TRUE	TRUE	1
GAS7	A0A3Q1M5P1	ENSG00000007237	ENST00000432992	ENSMUSG00000033066	-0.0677507392128871	2.18752582549308	0.134592394229167	0.389589142194997	TRUE	TRUE	1
ST7L	A3KN28	ENSG00000007341	ENST00000358039	ENSMUSG00000045576	0.74127942882469	-3.60600326532802	0.189492627375	-0.0589962021967876	TRUE	TRUE	1
RPUSD1	Q17QT4	ENSG00000007376	ENST00000007264	ENSMUSG00000041199	-2.33404058019404	-3.19346918740571	-0.198914886246575	0.414216040545396	TRUE	TRUE	1
RHBDF1	A7YWH9	ENSG00000007384	ENST00000262316	ENSMUSG00000020282	3.80918910144754	-2.01385228690597	-0.509922895861538	-0.462826534804494	TRUE	TRUE	1
LUC7L	F1MMH3	ENSG00000007392	ENST00000293872	ENSMUSG00000024188	-1.73372104365146	-3.63180367549447	0.211070695105263	0.368213629102242	TRUE	TRUE	1
CRAMP1	A0AAA9TIM2	ENSG00000007545	ENST00000397412	ENSMUSG00000038002	-4.42114867585968	-7.81080662392226	-0.585381572956522	-0.121384225150224	TRUE	TRUE	1
MYLIP	A0AAF6DLM3	ENSG00000007944	ENST00000356840	ENSMUSG00000038175	-10.1060115154441	-5.06126747055643	0.02297578772	0.300649471441097	TRUE	TRUE	1
E2F2	A0AAA9S0P9	ENSG00000007968	ENST00000361729	ENSMUSG00000018983	-5.65865685491775	-4.52986240312413	0.12349260084375	-0.204162096512235	TRUE	TRUE	1
JARID2	A0A3Q1LW97	ENSG00000008083	ENST00000341776	ENSMUSG00000038518	-6.32445905778338	-5.08935692454873	-0.582304916583333	-0.134481517146635	TRUE	TRUE	1
NADK	F1MCL6	ENSG00000008130	ENST00000341426	ENSMUSG00000029063	2.8273420183539	4.29215745871495	-0.462175145355263	-0.239613938110749	TRUE	TRUE	1
CYTH3	A0A3Q1NJF6	ENSG00000008256	ENST00000350796	ENSMUSG00000018001	-1.34562462303186	-3.64440389619399	-0.0958383910694444	0.138966341841866	TRUE	TRUE	1
ADAM22	F1MY31	ENSG00000008277	ENST00000413139	ENSMUSG00000040537	1.00943589050737	0.797450566481787	-0.25036587144	-0.311701944986108	TRUE	TRUE	1
SYPL1	A0A3S5ZPC1	ENSG00000008282	ENST00000455385	ENSMUSG00000020570	3.32440248711642	1.53735446814238	1.67084742448718	1.40096120810681	TRUE	TRUE	1
CYB561	A0A140T8A6	ENSG00000008283	ENST00000360793	ENSMUSG00000019590	2.28760965244469	5.39543525540741	0.352367430535211	0.380895392220638	TRUE	TRUE	1
SPAG9	A0A3Q1NAH5	ENSG00000008294	ENST00000262013	ENSMUSG00000020859	1.34793246005679	0.806587068403172	0.0821047041948052	0.00739290057962118	TRUE	TRUE	1
AASS	A0AAF6YXC0	ENSG00000008311	ENST00000417368	ENSMUSG00000029695	4.71897336666857	2.81805947081776	-0.0916797196271186	0.49284246890925	TRUE	TRUE	1
SS18L2	Q3ZC51	ENSG00000008324	ENST00000011691	ENSMUSG00000032526	-4.46623612408858	-1.52368946985965	1.23080161953247	0.784612665791005	TRUE	TRUE	1
MPND	F1MYW5	ENSG00000008382	ENST00000599840	ENSMUSG00000062627	6.82906061184633	-4.08104311233851	-0.531458101847222	-0.145458309683551	TRUE	TRUE	1
MGST1	F1MXY2	ENSG00000008394	ENST00000396210	ENSMUSG00000008540	10.1846508586086	6.05059626189165	1.71741530002778	1.24924698393389	TRUE	TRUE	1
CRY1	A7YWC2	ENSG00000008405	ENST00000008527	ENSMUSG00000020038	0.023344217543065	-1.47496809544694	-0.192977978847222	-0.0645500217352507	TRUE	TRUE	1
ST3GAL1	A0AAF6DLT4	ENSG00000008513	ENST00000522652	ENSMUSG00000013846	-9.08016246150837	-1.89447354463186	-0.00723380023287671	0.236506917205092	TRUE	TRUE	1
MAPK8IP2	G3X783	ENSG00000008735	ENST00000329492	ENSMUSG00000022619	4.29055463961613	-1.88105852671266	0.0702222877777778	0.28594008535327	TRUE	TRUE	1
LOC613985	A0A3Q1LM53	ENSG00000008853	ENST00000251822	ENSMUSG00000022075	-3.69037904617988	-2.55748549999728	-0.978744698102941	-0.731890989352976	TRUE	TRUE	1
HEATR5B	E1BB26	ENSG00000008869	ENST00000233099	ENSMUSG00000039414	-1.68084556652343	4.4668865345846704	-0.291780985180556	0.318312014537297	TRUE	TRUE	1
CSDE1	A0A3Q1ML77	ENSG00000009307	ENST00000358528	ENSMUSG00000068823	7.90525014382546	2.23135999767065	0.435943789589744	0.595635519518287	TRUE	TRUE	1
UBE3C	F1N703	ENSG00000009335	ENST00000348165	ENSMUSG00000039000	-0.481515672658331	1.56047781526518	-0.47472461722973	-0.106003059950768	TRUE	TRUE	1
REV3L	E1BPY8	ENSG00000009413	ENST00000368802	ENSMUSG00000019841	-5.80762669634604	-3.05712125496333	-1.45831424269231	-1.42789055768648	TRUE	TRUE	1
FAM76A	F1N6L6	ENSG00000009780	ENST00000373954	ENSMUSG00000028878	-1.629401128049	-2.40797868400742	0.40626789368	0.277943183028523	TRUE	TRUE	1
POMT2	A0AAA9TJH3	ENSG00000009830	ENST00000261534	ENSMUSG00000034126	3.88580798309009	1.39060179327429	-0.729998348720588	-0.0933639420561251	TRUE	TRUE	1
VTA1	Q32L63	ENSG00000009844	ENST00000367630	ENSMUSG00000019868	2.08754669163092	0.603202489497141	1.120907536	0.740760462891359	TRUE	TRUE	1
BAZ1B	E1B6X6	ENSG00000009954	ENST00000339594	ENSMUSG00000002748	-2.76397107108892	-2.31827195949654	0.142736399947368	0.254883383426814	TRUE	TRUE	1
RANBP9	A0A3Q1MPB6	ENSG00000010017	ENST00000011619	ENSMUSG00000038546	-1.0212674293644	-3.37510574178463	0.16746534648052	0.410788815460248	TRUE	TRUE	1
UQCRC1	G1K1X0	ENSG00000010256	ENST00000203407	ENSMUSG00000029017	8.04496215304163	3.23581358607581	1.00576131116667	0.705803757756279	TRUE	TRUE	1
STARD3NL	Q0VCL2	ENSG00000010270	ENST00000009041	ENSMUSG00000018167	2.89306405900113	-1.63852058346177	-0.169187934783784	-0.368705362417239	TRUE	TRUE	1
CD9	P30932	ENSG00000010278	ENST00000009180	ENSMUSG00000037706	8.00167553065572	5.205661777229	1.71127758718919	1.83326823946655	TRUE	TRUE	1
NCAPD2	A0AAA9TM36	ENSG00000010292	ENST00000315579	ENSMUSG00000038252	4.36397517243174	3.59663691371317	0.274470446868421	0.323297143551224	TRUE	TRUE	1
NISCH	F1N322	ENSG00000010322	ENST00000345716	ENSMUSG00000021910	1.46671200507596	2.73311119458958	-0.388291705041667	0.702944640119189	TRUE	TRUE	1
FUZ	E1BBF8	ENSG00000010361	ENST00000313777	ENSMUSG00000011658	6.08960050090806	2.61161786444597	-0.396733128797101	-0.261018194524624	TRUE	TRUE	1
IDS	A0AAA9SE69	ENSG00000010404	ENST00000340855	ENSMUSG00000035847	8.30532688552368	8.91348698956551	-1.54165085581356	-0.739388526607834	TRUE	TRUE	1
ZNF200	F6S0E3	ENSG00000010539	ENST00000414144	ENSMUSG00000039789	-8.75125477224039	-7.20866720825289	0.0259430762328767	-0.343013051871913	TRUE	TRUE	1
HFE	A0AAF6DLK8	ENSG00000010704	ENST00000357618	ENSMUSG00000006611	2.28553653444028	3.1820989392887302	0.5549450192	0.146949670383335	TRUE	TRUE	1
SCMH1	A0AAA9T6Q0	ENSG00000010803	ENST00000695335	ENSMUSG00000000085	0.100568454890994	-3.61356716003447	-1.80304818065152	-0.544423837583929	TRUE	TRUE	1
FYN	A0JNB0	ENSG00000010810	ENST00000354650	ENSMUSG00000019843	-0.407333911888056	-0.305038652733323	-0.331761333283582	-0.198003421037073	TRUE	TRUE	1
HIVEP2	E1B842	ENSG00000010818	ENST00000367603	ENSMUSG00000015501	-8.73528787267095	-6.59759994423513	-1.15702159526667	-0.564946023517502	TRUE	TRUE	1
ELOA	F6R5L6	ENSG00000011007	ENST00000613537	ENSMUSG00000028668	-1.74362338518093	-2.94344130894214	-0.228178485441558	-0.279058230021389	TRUE	TRUE	1
LYPLA2	A0AAA9S0E0	ENSG00000011009	ENST00000374514	ENSMUSG00000028670	4.21119490024554	0.871095252950319	0.861374797701299	1.03774544728851	TRUE	TRUE	1
CLCN6	E1BK15	ENSG00000011021	ENST00000346436	ENSMUSG00000029016	-1.13083742576482	-1.24761442182968	-0.231903108785714	-0.0404586398323563	TRUE	TRUE	1
MRC2	A0A3Q1M5H7	ENSG00000011028	ENST00000303375	ENSMUSG00000020695	5.19038641540055	3.85584333253735	0.0509118091230769	0.601435962967582	TRUE	TRUE	1
TSPAN9	A0A3Q1LXV0	ENSG00000011105	ENST00000011898	ENSMUSG00000030352	2.84491205116066	0.791092583470052	0.992973561130435	1.00738954246467	TRUE	TRUE	1
BTBD7	G3X8E7	ENSG00000011114	ENST00000334746	ENSMUSG00000041702	-5.27146694782949	-2.56564950619522	-0.879657151304348	-1.22030197810408	TRUE	TRUE	1
APBA3	A0A3Q1M1Q4	ENSG00000011132	ENST00000316757	ENSMUSG00000004931	-0.470616612054159	3.32099832055735	-0.522117416	-1.06422079615109	TRUE	TRUE	1
ABHD5	Q0VCC8	ENSG00000011198	ENST00000644371	ENSMUSG00000032540	-2.64613077334994	1.59701090162777	0.112713528493151	0.244899918196079	TRUE	TRUE	1
ANOS1	A0ABI0NWS8	ENSG00000011201	ENST00000262648	ENSMUSG00000017723	1.2380143800052	8.15025099851358	0.654460122243902	1.2017838041328	TRUE	TRUE	1
AKAP8L	F1MMW4	ENSG00000011243	ENST00000397410	ENSMUSG00000024045	1.19721562973919	-3.11555320622512	0.0655235998421053	0.131067307014612	TRUE	TRUE	1
MBTD1	F1MGV0	ENSG00000011258	ENST00000586178	ENSMUSG00000059474	-2.65432623953985	-3.99029624249568	-0.36596957715493	-0.208209492046563	TRUE	TRUE	1
RNF216	A0AAA9TNX3	ENSG00000011275	ENST00000389902	ENSMUSG00000045078	-3.29202555958486	-3.98444102765613	-0.0779019467236842	0.0267396468062313	TRUE	TRUE	1
TTC19	F1MEM9	ENSG00000011295	ENST00000261647	ENSMUSG00000042298	3.00502050287127	-1.47082640532184	0.344787810418919	0.390615158740094	TRUE	TRUE	1
