transcript_id	gene_id	strand	model	cds_length	zone_length	n_transition_fragile_codons	n_transversion_fragile_codons	n_snv_fragile_codons	n_alt_stop_codons	transition_fragile_codon_density	transversion_fragile_codon_density	snv_fragile_codon_density	alt_stop_codon_density	transition_fraction_of_snv_fragile
ENSBTAT00000011976	ENSBTAG00000009084	-	full	945	813	15	103	118	43	0.01845018450184502	0.12669126691266913	0.14514145141451415	0.05289052890528905	0.1271186440677966
ENSBTAT00000011977	ENSBTAG00000009085	+	full	1467	1348	21	99	120	49	0.015578635014836795	0.07344213649851632	0.08902077151335312	0.03635014836795252	0.175
ENSBTAT00000118693	ENSBTAG00000005723	-	full	1839	1332	29	135	164	66	0.02177177177177177	0.10135135135135136	0.12312312312312312	0.04954954954954955	0.17682926829268292
ENSBTAT00000120788	ENSBTAG00000007784	-	full	606	378	7	42	49	15	0.018518518518518517	0.1111111111111111	0.12962962962962962	0.03968253968253968	0.14285714285714285
ENSBTAT00000055158	ENSBTAG00000002703	+	full	1857	1714	26	148	174	65	0.015169194865810968	0.08634772462077013	0.10151691948658109	0.037922987164527425	0.14942528735632185
ENSBTAT00000065613	ENSBTAG00000004971	+	full	1425	1294	26	154	180	59	0.02009273570324575	0.11901081916537867	0.1391035548686244	0.04559505409582689	0.14444444444444443
ENSBTAT00000047259	ENSBTAG00000001390	-	full	1035	852	17	74	91	31	0.01995305164319249	0.08685446009389672	0.1068075117370892	0.036384976525821594	0.18681318681318682
ENSBTAT00000071475	ENSBTAG00000000210	+	full	4356	1876	40	166	206	49	0.021321961620469083	0.08848614072494669	0.10980810234541578	0.026119402985074626	0.1941747572815534
ENSBTAT00000083926	ENSBTAG00000000213	-	full	1512	1228	29	92	121	32	0.023615635179153095	0.0749185667752443	0.0985342019543974	0.026058631921824105	0.2396694214876033
ENSBTAT00000011287	ENSBTAG00000008562	+	full	1179	1179	30	110	140	40	0.02544529262086514	0.09329940627650551	0.11874469889737066	0.033927056827820185	0.21428571428571427
ENSBTAT00000084422	ENSBTAG00000048057	-	full	1455	1234	28	112	140	38	0.022690437601296597	0.09076175040518639	0.11345218800648298	0.03079416531604538	0.2
ENSBTAT00000047119	ENSBTAG00000033170	-	full	1116	857	13	64	77	19	0.015169194865810968	0.07467911318553092	0.08984830805134189	0.022170361726954493	0.16883116883116883
ENSBTAT00000029891	ENSBTAG00000022155	-	full	924	829	17	84	101	26	0.020506634499396863	0.10132689987937274	0.1218335343787696	0.031363088057901084	0.16831683168316833
ENSBTAT00000070754	ENSBTAG00000016848	+	full	1320	1263	18	122	140	63	0.014251781472684086	0.09659540775930324	0.11084718923198733	0.0498812351543943	0.12857142857142856
ENSBTAT00000017379	ENSBTAG00000013069	-	full	1797	1517	51	158	209	71	0.03361898483849703	0.1041529334212261	0.13777191825972313	0.04680290046143705	0.24401913875598086
ENSBTAT00000111961	ENSBTAG00000013070	+	full	789	721	14	71	85	40	0.019417475728155338	0.09847434119278779	0.11789181692094314	0.05547850208044383	0.16470588235294117
ENSBTAT00000113503	ENSBTAG00000054326	-	full	993	0	0	0	0	0	NA	NA	NA	NA	NA
ENSBTAT00000080763	ENSBTAG00000011143	-	full	1656	1418	32	129	161	59	0.022566995768688293	0.09097320169252468	0.11354019746121298	0.04160789844851904	0.19875776397515527
ENSBTAT00000029045	ENSBTAG00000021791	-	full	2565	2144	53	207	260	100	0.024720149253731342	0.09654850746268656	0.12126865671641791	0.04664179104477612	0.20384615384615384
ENSBTAT00000013108	ENSBTAG00000009933	+	full	2220	2100	39	219	258	83	0.018571428571428572	0.10428571428571429	0.12285714285714286	0.039523809523809524	0.1511627906976744
ENSBTAT00000022152	ENSBTAG00000016656	+	full	5400	5060	115	539	654	242	0.022727272727272728	0.10652173913043478	0.1292490118577075	0.04782608695652174	0.17584097859327216
ENSBTAT00000095463	ENSBTAG00000005066	-	full	1521	952	27	75	102	33	0.028361344537815126	0.07878151260504201	0.10714285714285714	0.03466386554621849	0.2647058823529412
ENSBTAT00000006685	ENSBTAG00000005071	+	full	1434	1268	21	81	102	38	0.016561514195583597	0.0638801261829653	0.0804416403785489	0.02996845425867508	0.20588235294117646
ENSBTAT00000106951	ENSBTAG00000018877	+	full	1764	1633	38	142	180	45	0.023270055113288425	0.08695652173913043	0.11022657685241886	0.027556644213104716	0.2111111111111111
ENSBTAT00000019691	ENSBTAG00000014797	+	full	978	727	12	69	81	35	0.016506189821182942	0.09491059147180192	0.11141678129298486	0.048143053645116916	0.14814814814814814
ENSBTAT00000032276	ENSBTAG00000023607	-	full	975	842	12	59	71	18	0.014251781472684086	0.07007125890736342	0.08432304038004751	0.021377672209026127	0.16901408450704225
ENSBTAT00000090379	ENSBTAG00000014567	-	full	6438	6137	131	517	648	154	0.02134593449568193	0.08424311552875997	0.10558905002444191	0.025093693987290208	0.2021604938271605
ENSBTAT00000109092	ENSBTAG00000000566	-	full	2853	1881	48	198	246	79	0.025518341307814992	0.10526315789473684	0.13078149920255183	0.04199893673577884	0.1951219512195122
ENSBTAT00000125275	ENSBTAG00000013727	+	full	1587	1223	17	100	117	49	0.013900245298446443	0.08176614881439084	0.09566639411283728	0.04006541291905151	0.1452991452991453
ENSBTAT00000018278	ENSBTAG00000013755	-	full	2403	2257	33	184	217	42	0.014621178555604785	0.0815241470979176	0.09614532565352238	0.01860877270713336	0.15207373271889402
ENSBTAT00000146576	ENSBTAG00000021396	-	full	4416	4216	69	294	363	94	0.016366223908918405	0.06973434535104364	0.08610056925996205	0.022296015180265655	0.19008264462809918
ENSBTAT00000018208	ENSBTAG00000000496	-	full	2322	2109	45	123	168	42	0.021337126600284494	0.05832147937411095	0.07965860597439545	0.01991465149359886	0.26785714285714285
ENSBTAT00000070820	ENSBTAG00000050482	-	full	2385	736	22	75	97	38	0.029891304347826088	0.10190217391304347	0.13179347826086957	0.051630434782608696	0.2268041237113402
ENSBTAT00000103845	ENSBTAG00000006471	-	full	2475	2359	51	219	270	87	0.02161933022467147	0.09283594743535396	0.11445527766002543	0.03688003391267486	0.18888888888888888
ENSBTAT00000018888	ENSBTAG00000014208	-	full	333	259	5	26	31	10	0.019305019305019305	0.10038610038610038	0.11969111969111969	0.03861003861003861	0.16129032258064516
ENSBTAT00000023995	ENSBTAG00000018025	+	full	1314	1132	26	137	163	51	0.022968197879858657	0.12102473498233215	0.1439929328621908	0.045053003533568906	0.15950920245398773
ENSBTAT00000046614	ENSBTAG00000014874	-	full	957	957	30	82	112	54	0.03134796238244514	0.08568443051201671	0.11703239289446186	0.05642633228840126	0.26785714285714285
ENSBTAT00000025116	ENSBTAG00000032839	-	full	2391	2140	46	193	239	96	0.02149532710280374	0.09018691588785047	0.11168224299065421	0.044859813084112146	0.19246861924686193
ENSBTAT00000002461	ENSBTAG00000001890	+	full	2991	2762	67	210	277	78	0.024257784214337438	0.07603186097031137	0.1002896451846488	0.028240405503258507	0.24187725631768953
ENSBTAT00000028482	ENSBTAG00000021364	-	full	3261	3204	78	167	245	49	0.024344569288389514	0.05212234706616729	0.07646691635455681	0.01529338327091136	0.3183673469387755
ENSBTAT00000118037	ENSBTAG00000032719	-	full	2421	2128	34	194	228	100	0.015977443609022556	0.09116541353383459	0.10714285714285714	0.046992481203007516	0.14912280701754385
ENSBTAT00000022580	ENSBTAG00000016979	-	full	1221	1034	17	89	106	39	0.01644100580270793	0.086073500967118	0.10251450676982592	0.037717601547388784	0.16037735849056603
ENSBTAT00000009970	ENSBTAG00000007577	-	full	1323	1111	32	111	143	50	0.0288028802880288	0.0999099909990999	0.12871287128712872	0.045004500450045004	0.22377622377622378
ENSBTAT00000017712	ENSBTAG00000013317	-	full	1722	712	16	103	119	30	0.02247191011235955	0.1446629213483146	0.16713483146067415	0.042134831460674156	0.13445378151260504
ENSBTAT00000050590	ENSBTAG00000006388	+	full	846	610	14	37	51	12	0.022950819672131147	0.060655737704918035	0.08360655737704918	0.019672131147540985	0.27450980392156865
ENSBTAT00000017558	ENSBTAG00000013192	-	full	492	80	1	10	11	5	0.0125	0.125	0.1375	0.0625	0.09090909090909091
ENSBTAT00000108301	ENSBTAG00000048195	+	full	831	637	13	65	78	30	0.02040816326530612	0.10204081632653061	0.12244897959183673	0.04709576138147567	0.16666666666666666
ENSBTAT00000082239	ENSBTAG00000047856	+	full	1575	1438	25	142	167	66	0.017385257301808066	0.09874826147426982	0.11613351877607789	0.0458970792767733	0.1497005988023952
ENSBTAT00000080821	ENSBTAG00000032674	+	full	2265	2104	50	198	248	93	0.02376425855513308	0.094106463878327	0.11787072243346007	0.04420152091254753	0.20161290322580644
ENSBTAT00000099835	ENSBTAG00000008873	-	full	648	526	10	48	58	16	0.019011406844106463	0.09125475285171103	0.11026615969581749	0.030418250950570342	0.1724137931034483
ENSBTAT00000067511	ENSBTAG00000020378	-	full	2784	2627	54	245	299	141	0.020555767034640272	0.09326227636086791	0.11381804339550819	0.05367339170156071	0.1806020066889632
ENSBTAT00000082799	ENSBTAG00000000448	-	full	1248	725	8	56	64	21	0.011034482758620689	0.07724137931034483	0.08827586206896551	0.028965517241379312	0.125
ENSBTAT00000101017	ENSBTAG00000006724	+	full	750	527	9	61	70	37	0.017077798861480076	0.1157495256166983	0.13282732447817835	0.07020872865275142	0.12857142857142856
ENSBTAT00000098057	ENSBTAG00000054986	+	full	2463	2312	53	240	293	111	0.022923875432525952	0.10380622837370242	0.12673010380622837	0.04801038062283737	0.18088737201365188
ENSBTAT00000117439	ENSBTAG00000008462	-	full	1272	1272	21	99	120	15	0.01650943396226415	0.07783018867924528	0.09433962264150944	0.01179245283018868	0.175
ENSBTAT00000072998	ENSBTAG00000008461	+	full	1959	1729	47	166	213	82	0.027183342972816656	0.09600925390399075	0.1231925968768074	0.04742625795257374	0.22065727699530516
ENSBTAT00000032260	ENSBTAG00000002394	+	full	1350	1189	31	66	97	22	0.02607232968881413	0.05550883095037847	0.0815811606391926	0.018502943650126155	0.31958762886597936
ENSBTAT00000017579	ENSBTAG00000013204	+	full	3771	3523	61	310	371	158	0.01731478853250071	0.08799318762418393	0.10530797615668465	0.044848140789100197	0.16442048517520216
ENSBTAT00000000742	ENSBTAG00000000569	-	full	1041	440	5	37	42	17	0.011363636363636364	0.08409090909090909	0.09545454545454546	0.038636363636363635	0.11904761904761904
ENSBTAT00000082852	ENSBTAG00000019514	-	full	3096	3053	88	298	386	161	0.028824107435309533	0.09760890926957091	0.12643301670488044	0.05273501473960039	0.22797927461139897
ENSBTAT00000075658	ENSBTAG00000006945	-	full	1446	1376	45	160	205	49	0.032703488372093026	0.11627906976744186	0.14898255813953487	0.03561046511627907	0.21951219512195122
ENSBTAT00000070445	ENSBTAG00000013205	-	full	1797	1379	20	131	151	62	0.014503263234227702	0.09499637418419145	0.10949963741841914	0.044960116026105876	0.13245033112582782
ENSBTAT00000071778	ENSBTAG00000001511	+	full	2121	1927	27	145	172	49	0.01401141670991178	0.07524649714582252	0.0892579138557343	0.02542812662169175	0.1569767441860465
ENSBTAT00000012565	ENSBTAG00000010357	-	full	1218	920	24	69	93	25	0.02608695652173913	0.075	0.10108695652173913	0.02717391304347826	0.25806451612903225
ENSBTAT00000019596	ENSBTAG00000014724	-	full	1227	1032	28	93	121	40	0.027131782945736434	0.09011627906976744	0.11724806201550388	0.03875968992248062	0.23140495867768596
ENSBTAT00000004094	ENSBTAG00000003151	-	full	1239	1124	26	95	121	42	0.023131672597864767	0.08451957295373666	0.10765124555160142	0.037366548042704624	0.21487603305785125
ENSBTAT00000004087	ENSBTAG00000003143	+	full	1743	1714	42	131	173	58	0.024504084014002333	0.0764294049008168	0.10093348891481914	0.0338389731621937	0.24277456647398843
ENSBTAT00000105660	ENSBTAG00000014915	+	full	1617	1345	40	105	145	42	0.02973977695167286	0.07806691449814127	0.10780669144981413	0.031226765799256505	0.27586206896551724
ENSBTAT00000149595	ENSBTAG00000001697	+	full	867	806	10	86	96	26	0.01240694789081886	0.10669975186104218	0.11910669975186104	0.03225806451612903	0.10416666666666667
ENSBTAT00000123291	ENSBTAG00000007666	+	full	1905	1762	38	141	179	58	0.021566401816118047	0.08002270147559591	0.10158910329171396	0.032917139614074914	0.2122905027932961
ENSBTAT00000002296	ENSBTAG00000001749	-	full	1992	1879	47	176	223	77	0.025013304949441192	0.09366684406599254	0.11868014901543374	0.04097924427887174	0.21076233183856502
ENSBTAT00000148663	ENSBTAG00000017115	+	full	900	629	10	38	48	11	0.01589825119236884	0.06041335453100159	0.07631160572337042	0.017488076311605722	0.20833333333333334
ENSBTAT00000089657	ENSBTAG00000019625	+	full	2172	860	18	73	91	29	0.020930232558139535	0.08488372093023255	0.1058139534883721	0.03372093023255814	0.1978021978021978
ENSBTAT00000025309	ENSBTAG00000019014	+	full	924	924	16	79	95	33	0.017316017316017316	0.0854978354978355	0.10281385281385282	0.03571428571428571	0.16842105263157894
ENSBTAT00000120222	ENSBTAG00000005313	-	full	3075	2916	54	182	236	68	0.018518518518518517	0.062414266117969824	0.08093278463648834	0.023319615912208505	0.2288135593220339
ENSBTAT00000032213	ENSBTAG00000012881	-	full	4824	4589	115	364	479	145	0.025059925909784266	0.07932011331444759	0.10438003922423186	0.03159729788624973	0.24008350730688935
ENSBTAT00000007436	ENSBTAG00000005660	-	full	2727	2494	39	194	233	73	0.015637530072173216	0.07778668805132317	0.0934242181234964	0.029270248596631916	0.16738197424892703
ENSBTAT00000009087	ENSBTAG00000006920	-	full	2130	1921	46	141	187	50	0.02394586153045289	0.07339927121290994	0.09734513274336283	0.026028110359187923	0.24598930481283424
ENSBTAT00000016526	ENSBTAG00000020106	-	full	1314	1129	25	82	107	44	0.022143489813994686	0.07263064658990256	0.09477413640389726	0.03897254207263064	0.2336448598130841
ENSBTAT00000112547	ENSBTAG00000019336	-	full	2181	1694	24	96	120	45	0.014167650531286895	0.05667060212514758	0.07083825265643448	0.026564344746162927	0.2
ENSBTAT00000015168	ENSBTAG00000011414	-	full	2187	2077	46	144	190	78	0.022147327876745306	0.0693307655272027	0.091478093403948	0.03755416466056813	0.24210526315789474
ENSBTAT00000023496	ENSBTAG00000017666	+	full	4314	4162	85	323	408	150	0.02042287361845267	0.07760691975012013	0.0980297933685728	0.03604036520903412	0.20833333333333334
ENSBTAT00000019219	ENSBTAG00000014451	-	full	4239	4080	103	331	434	136	0.025245098039215687	0.08112745098039216	0.10637254901960784	0.03333333333333333	0.23732718894009217
ENSBTAT00000023192	ENSBTAG00000017450	-	full	1803	1552	27	157	184	87	0.017396907216494846	0.10115979381443299	0.11855670103092783	0.05605670103092784	0.14673913043478262
ENSBTAT00000008604	ENSBTAG00000006548	+	full	2250	2071	41	185	226	84	0.01979719942056977	0.08932882665379044	0.10912602607436021	0.04056011588604539	0.18141592920353983
ENSBTAT00000083735	ENSBTAG00000012797	+	full	825	695	25	75	100	36	0.03597122302158273	0.1079136690647482	0.14388489208633093	0.051798561151079135	0.25
ENSBTAT00000084243	ENSBTAG00000000290	-	full	3534	3402	77	318	395	150	0.02263374485596708	0.09347442680776014	0.11610817166372722	0.04409171075837742	0.1949367088607595
ENSBTAT00000032097	ENSBTAG00000023513	+	full	351	230	4	17	21	10	0.017391304347826087	0.07391304347826087	0.09130434782608696	0.043478260869565216	0.19047619047619047
ENSBTAT00000002554	ENSBTAG00000001968	-	full	2316	1350	24	150	174	65	0.017777777777777778	0.1111111111111111	0.1288888888888889	0.04814814814814815	0.13793103448275862
ENSBTAT00000061390	ENSBTAG00000005946	-	full	2592	2448	44	205	249	95	0.017973856209150325	0.08374183006535947	0.1017156862745098	0.03880718954248366	0.17670682730923695
ENSBTAT00000105321	ENSBTAG00000002460	-	full	1401	1270	23	108	131	49	0.01811023622047244	0.08503937007874016	0.1031496062992126	0.03858267716535433	0.17557251908396945
ENSBTAT00000146290	ENSBTAG00000002767	+	full	1023	1023	25	72	97	48	0.024437927663734114	0.07038123167155426	0.09481915933528837	0.0469208211143695	0.25773195876288657
ENSBTAT00000013860	ENSBTAG00000010485	-	full	2229	2097	44	191	235	96	0.020982355746304245	0.0910824988078207	0.11206485455412495	0.045779685264663805	0.18723404255319148
ENSBTAT00000111881	ENSBTAG00000037393	-	full	1458	254	2	32	34	12	0.007874015748031496	0.12598425196850394	0.13385826771653545	0.047244094488188976	0.058823529411764705
ENSBTAT00000072391	ENSBTAG00000009232	-	full	3207	2886	74	282	356	155	0.02564102564102564	0.09771309771309772	0.12335412335412335	0.05370755370755371	0.20786516853932585
ENSBTAT00000146066	ENSBTAG00000073599	+	full	948	689	18	64	82	17	0.026124818577648767	0.09288824383164006	0.11901306240928883	0.02467343976777939	0.21951219512195122
ENSBTAT00000087441	ENSBTAG00000021910	+	full	1524	1447	41	98	139	69	0.028334485141672427	0.06772633033863165	0.09606081548030408	0.04768486523842433	0.2949640287769784
ENSBTAT00000032677	ENSBTAG00000023814	-	full	2835	2695	50	283	333	142	0.01855287569573284	0.10500927643784787	0.12356215213358071	0.05269016697588126	0.15015015015015015
