transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ENSBTAT00000017558	ENSBTAG00000013192	243	3	0	1	34	32	75	2
ENSBTAT00000108301	ENSBTAG00000048195	233	0	0	0	0	NA	NA	NA
ENSBTAT00000082239	ENSBTAG00000047856	155	2	0	1	5	4	17	9
ENSBTAT00000080821	ENSBTAG00000032674	211	0	1	1	0	NA	198	NA
ENSBTAT00000099835	ENSBTAG00000008873	473	3	1	1	120	73	77	15
ENSBTAT00000067511	ENSBTAG00000020378	199	1	0	1	19	19	80	59
ENSBTAT00000082799	ENSBTAG00000000448	199	1	0	1	6	6	97	81
ENSBTAT00000101017	ENSBTAG00000006724	208	0	0	0	0	NA	NA	NA
ENSBTAT00000098057	ENSBTAG00000054986	179	1	0	1	14	14	31	103
ENSBTAT00000117439	ENSBTAG00000008462	998	5	0	1	80	58	23	668
ENSBTAT00000072998	ENSBTAG00000008461	82	0	0	0	0	NA	NA	NA
ENSBTAT00000032260	ENSBTAG00000002394	144	0	0	0	0	NA	NA	NA
ENSBTAT00000017579	ENSBTAG00000013204	50	0	0	0	0	NA	NA	NA
ENSBTAT00000000742	ENSBTAG00000000569	222	0	0	0	0	NA	NA	NA
ENSBTAT00000082852	ENSBTAG00000019514	122	0	0	0	0	NA	NA	NA
ENSBTAT00000075658	ENSBTAG00000006945	215	0	0	0	0	NA	NA	NA
ENSBTAT00000070445	ENSBTAG00000013205	28	0	0	0	0	NA	NA	NA
ENSBTAT00000071778	ENSBTAG00000001511	84	0	0	0	0	NA	NA	NA
ENSBTAT00000012565	ENSBTAG00000010357	172	2	0	1	15	8	16	94
ENSBTAT00000019596	ENSBTAG00000014724	362	1	0	1	47	47	25	193
ENSBTAT00000004094	ENSBTAG00000003151	75	0	0	0	0	NA	NA	NA
ENSBTAT00000004087	ENSBTAG00000003143	315	3	1	1	21	12	0	68
ENSBTAT00000105660	ENSBTAG00000014915	139	2	0	1	43	37	3	5
ENSBTAT00000149595	ENSBTAG00000001697	149	0	0	0	0	NA	NA	NA
ENSBTAT00000123291	ENSBTAG00000007666	71	0	0	0	0	NA	NA	NA
ENSBTAT00000002296	ENSBTAG00000001749	199	0	0	0	0	NA	NA	NA
ENSBTAT00000148663	ENSBTAG00000017115	199	1	0	1	48	48	19	33
ENSBTAT00000089657	ENSBTAG00000019625	41	1	0	1	7	7	11	6
ENSBTAT00000025309	ENSBTAG00000019014	310	0	0	0	0	NA	NA	NA
ENSBTAT00000120222	ENSBTAG00000005313	199	0	0	0	0	NA	NA	NA
ENSBTAT00000032213	ENSBTAG00000012881	363	2	4	1	75	55	70	93
ENSBTAT00000007436	ENSBTAG00000005660	51	0	0	0	0	NA	NA	NA
ENSBTAT00000009087	ENSBTAG00000006920	10	0	0	0	0	NA	NA	NA
ENSBTAT00000016526	ENSBTAG00000020106	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000112547	ENSBTAG00000019336	199	0	0	0	0	NA	NA	NA
ENSBTAT00000015168	ENSBTAG00000011414	199	1	0	1	41	41	67	6
ENSBTAT00000023496	ENSBTAG00000017666	153	1	1	1	3	3	14	127
ENSBTAT00000019219	ENSBTAG00000014451	161	0	1	1	0	NA	153	NA
ENSBTAT00000023192	ENSBTAG00000017450	236	4	0	1	74	45	7	2
ENSBTAT00000008604	ENSBTAG00000006548	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000083735	ENSBTAG00000012797	199	3	1	1	30	16	25	16
ENSBTAT00000084243	ENSBTAG00000000290	308	0	1	1	0	NA	178	NA
ENSBTAT00000032097	ENSBTAG00000023513	122	0	1	1	0	NA	78	NA
ENSBTAT00000002554	ENSBTAG00000001968	111	0	0	0	0	NA	NA	NA
ENSBTAT00000061390	ENSBTAG00000005946	79	0	0	0	0	NA	NA	NA
ENSBTAT00000105321	ENSBTAG00000002460	47	0	0	0	0	NA	NA	NA
ENSBTAT00000146290	ENSBTAG00000002767	206	0	0	0	0	NA	NA	NA
ENSBTAT00000013860	ENSBTAG00000010485	68	0	0	0	0	NA	NA	NA
ENSBTAT00000111881	ENSBTAG00000037393	251	1	0	1	28	28	73	91
ENSBTAT00000072391	ENSBTAG00000009232	558	3	0	1	68	63	345	21
ENSBTAT00000146066	ENSBTAG00000073599	258	0	2	1	0	NA	233	NA
ENSBTAT00000087441	ENSBTAG00000021910	245	3	1	1	31	14	151	38
ENSBTAT00000032677	ENSBTAG00000023814	287	3	0	1	46	22	109	52
ENSBTAT00000144004	ENSBTAG00000020073	206	1	0	1	10	10	109	64
ENSBTAT00000152633	ENSBTAG00000057675	122	1	2	1	17	17	20	48
ENSBTAT00000025816	ENSBTAG00000019376	199	4	1	1	63	31	49	16
ENSBTAT00000076794	ENSBTAG00000017490	164	0	1	1	0	NA	103	NA
ENSBTAT00000136631	ENSBTAG00000010550	202	1	0	1	11	11	7	159
ENSBTAT00000005438	ENSBTAG00000004154	256	0	0	0	0	NA	NA	NA
ENSBTAT00000061563	ENSBTAG00000001403	134	0	0	0	0	NA	NA	NA
ENSBTAT00000092038	ENSBTAG00000013142	318	4	0	1	48	33	17	81
ENSBTAT00000024928	ENSBTAG00000018727	364	3	0	1	62	40	75	75
ENSBTAT00000016890	ENSBTAG00000012708	100	0	0	0	0	NA	NA	NA
ENSBTAT00000076471	ENSBTAG00000031709	330	3	0	1	58	23	100	0
ENSBTAT00000116795	ENSBTAG00000016228	199	4	1	1	38	20	6	96
ENSBTAT00000092025	ENSBTAG00000001274	199	0	0	0	0	NA	NA	NA
ENSBTAT00000095452	ENSBTAG00000017416	304	0	0	0	0	NA	NA	NA
ENSBTAT00000132628	ENSBTAG00000058033	398	0	0	0	0	NA	NA	NA
ENSBTAT00000108062	ENSBTAG00000031572	199	0	0	0	0	NA	NA	NA
ENSBTAT00000135413	ENSBTAG00000027795	236	1	0	1	41	41	49	61
ENSBTAT00000104232	ENSBTAG00000009336	358	0	0	0	0	NA	NA	NA
ENSBTAT00000074635	ENSBTAG00000004126	142	0	0	0	0	NA	NA	NA
ENSBTAT00000044707	ENSBTAG00000031561	131	0	0	0	0	NA	NA	NA
ENSBTAT00000044731	ENSBTAG00000005230	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000005025	ENSBTAG00000003851	1261	9	0	1	237	70	17	406
ENSBTAT00000016071	ENSBTAG00000012120	229	2	0	1	45	31	37	62
ENSBTAT00000140019	ENSBTAG00000076513	96	0	0	0	0	NA	NA	NA
ENSBTAT00000084984	ENSBTAG00000013013	199	0	0	0	0	NA	NA	NA
ENSBTAT00000002681	ENSBTAG00000002075	345	1	0	1	1	1	169	170
ENSBTAT00000100836	ENSBTAG00000006142	63	0	0	0	0	NA	NA	NA
ENSBTAT00000100582	ENSBTAG00000001465	1139	4	1	1	91	58	37	15
ENSBTAT00000069762	ENSBTAG00000004564	6	0	0	0	0	NA	NA	NA
ENSBTAT00000044404	ENSBTAG00000023445	506	1	1	1	17	17	12	440
ENSBTAT00000148942	ENSBTAG00000031435	114	0	0	0	0	NA	NA	NA
ENSBTAT00000105381	ENSBTAG00000009104	576	0	0	0	0	NA	NA	NA
ENSBTAT00000024485	ENSBTAG00000018402	642	2	0	1	20	12	0	135
ENSBTAT00000014805	ENSBTAG00000011150	614	0	0	0	0	NA	NA	NA
ENSBTAT00000014803	ENSBTAG00000011147	101	1	0	1	4	4	14	72
ENSBTAT00000123126	ENSBTAG00000005068	61	0	0	0	0	NA	NA	NA
ENSBTAT00000010277	ENSBTAG00000007814	68	0	0	0	0	NA	NA	NA
ENSBTAT00000113254	ENSBTAG00000015163	62	1	0	1	9	9	30	2
ENSBTAT00000003112	ENSBTAG00000002395	21	0	0	0	0	NA	NA	NA
ENSBTAT00000129406	ENSBTAG00000019704	208	0	0	0	0	NA	NA	NA
ENSBTAT00000075393	ENSBTAG00000001721	109	0	0	0	0	NA	NA	NA
ENSBTAT00000110973	ENSBTAG00000022227	93	0	0	0	0	NA	NA	NA
ENSBTAT00000083481	ENSBTAG00000011986	137	0	0	0	0	NA	NA	NA
ENSBTAT00000031949	ENSBTAG00000007331	351	0	0	0	0	NA	NA	NA
ENSBTAT00000010430	ENSBTAG00000007933	688	0	0	0	0	NA	NA	NA
ENSBTAT00000072060	ENSBTAG00000031178	146	2	0	1	6	4	13	118
ENSBTAT00000088655	ENSBTAG00000009154	21	0	0	0	0	NA	NA	NA
ENSBTAT00000021330	ENSBTAG00000016026	221	0	0	0	0	NA	NA	NA
ENSBTAT00000002887	ENSBTAG00000002232	199	1	1	1	2	2	6	184
ENSBTAT00000093517	ENSBTAG00000011524	66	0	0	0	0	NA	NA	NA
ENSBTAT00000096969	ENSBTAG00000018138	42	0	0	0	0	NA	NA	NA
ENSBTAT00000008169	ENSBTAG00000006222	1	0	0	0	0	NA	NA	NA
ENSBTAT00000018795	ENSBTAG00000014140	164	0	0	0	0	NA	NA	NA
ENSBTAT00000044150	ENSBTAG00000015413	92	0	0	0	0	NA	NA	NA
ENSBTAT00000124188	ENSBTAG00000040061	8643	141	1	1	2624	87	32	18
ENSBTAT00000081879	ENSBTAG00000050763	203	1	0	1	4	4	177	11
ENSBTAT00000020353	ENSBTAG00000015310	191	0	1	1	0	NA	177	NA
ENSBTAT00000115958	ENSBTAG00000020028	256	0	1	1	0	NA	83	NA
ENSBTAT00000090923	ENSBTAG00000014843	100	0	0	0	0	NA	NA	NA
ENSBTAT00000009083	ENSBTAG00000006909	457	5	1	1	70	22	39	0
ENSBTAT00000132762	ENSBTAG00000023426	52	0	1	1	0	NA	42	NA
ENSBTAT00000096413	ENSBTAG00000018538	163	3	1	1	15	7	55	35
ENSBTAT00000052818	ENSBTAG00000001497	87	2	0	1	8	6	33	12
ENSBTAT00000070490	ENSBTAG00000019952	13	0	0	0	0	NA	NA	NA
ENSBTAT00000026574	ENSBTAG00000019949	144	1	0	1	8	8	32	85
ENSBTAT00000128659	ENSBTAG00000015198	199	0	0	0	0	NA	NA	NA
ENSBTAT00000024518	ENSBTAG00000018427	137	0	0	0	0	NA	NA	NA
ENSBTAT00000110879	ENSBTAG00000035437	363	3	1	1	18	12	15	180
ENSBTAT00000074470	ENSBTAG00000015221	4	0	0	0	0	NA	NA	NA
ENSBTAT00000000991	ENSBTAG00000000750	1196	5	1	1	59	23	23	320
ENSBTAT00000069850	ENSBTAG00000023416	199	1	0	1	24	24	46	78
ENSBTAT00000009235	ENSBTAG00000007014	199	1	0	1	25	25	22	99
ENSBTAT00000077451	ENSBTAG00000000742	165	0	0	0	0	NA	NA	NA
ENSBTAT00000022607	ENSBTAG00000016999	199	2	0	1	27	16	2	77
ENSBTAT00000001747	ENSBTAG00000001324	101	0	0	0	0	NA	NA	NA
ENSBTAT00000001199	ENSBTAG00000000905	364	0	0	0	0	NA	NA	NA
ENSBTAT00000106872	ENSBTAG00000044075	24	0	0	0	0	NA	NA	NA
ENSBTAT00000084226	ENSBTAG00000000526	164	0	0	0	0	NA	NA	NA
ENSBTAT00000023484	ENSBTAG00000035556	333	0	0	0	0	NA	NA	NA
ENSBTAT00000005894	ENSBTAG00000004495	193	0	0	0	0	NA	NA	NA
ENSBTAT00000133182	ENSBTAG00000002966	271	1	0	1	8	8	30	214
ENSBTAT00000067478	ENSBTAG00000030942	168	1	0	1	12	12	5	124
ENSBTAT00000115351	ENSBTAG00000009258	261	3	0	1	38	24	28	34
ENSBTAT00000068941	ENSBTAG00000007462	557	4	1	1	41	21	67	113
ENSBTAT00000114603	ENSBTAG00000011626	93	1	0	1	9	9	41	22
ENSBTAT00000018087	ENSBTAG00000013602	123	1	0	1	8	8	18	78
ENSBTAT00000136000	ENSBTAG00000018768	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000018116	ENSBTAG00000013629	69	0	0	0	0	NA	NA	NA
ENSBTAT00000000507	ENSBTAG00000000394	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000012035	ENSBTAG00000030913	284	4	0	1	59	37	107	27
ENSBTAT00000028324	ENSBTAG00000021253	199	0	1	1	0	NA	119	NA
ENSBTAT00000093461	ENSBTAG00000021259	150	1	1	1	2	2	60	81
ENSBTAT00000096215	ENSBTAG00000030836	199	6	0	1	37	15	16	40
ENSBTAT00000028342	ENSBTAG00000066612	100	0	0	0	0	NA	NA	NA
ENSBTAT00000078051	ENSBTAG00000021286	268	1	1	1	6	6	219	28
ENSBTAT00000029195	ENSBTAG00000021899	12	0	0	0	0	NA	NA	NA
ENSBTAT00000077373	ENSBTAG00000021491	189	1	1	1	10	10	65	91
ENSBTAT00000018809	ENSBTAG00000014153	238	2	1	1	56	42	95	14
ENSBTAT00000023157	ENSBTAG00000017418	70	0	1	1	0	NA	53	NA
ENSBTAT00000149796	ENSBTAG00000074909	140	0	0	0	0	NA	NA	NA
ENSBTAT00000070390	ENSBTAG00000003981	80	0	0	0	0	NA	NA	NA
ENSBTAT00000027260	ENSBTAG00000020456	30	0	0	0	0	NA	NA	NA
ENSBTAT00000087207	ENSBTAG00000007100	151	1	0	1	8	8	112	12
ENSBTAT00000056305	ENSBTAG00000010658	93	0	0	0	0	NA	NA	NA
ENSBTAT00000118633	ENSBTAG00000060080	398	2	0	1	19	18	283	28
ENSBTAT00000063929	ENSBTAG00000048090	52	0	0	0	0	NA	NA	NA
ENSBTAT00000114174	ENSBTAG00000017321	71	0	0	0	0	NA	NA	NA
ENSBTAT00000029020	ENSBTAG00000021771	66	0	0	0	0	NA	NA	NA
ENSBTAT00000102649	ENSBTAG00000017486	278	0	0	0	0	NA	NA	NA
ENSBTAT00000043357	ENSBTAG00000024162	209	1	0	1	9	9	137	42
ENSBTAT00000015668	ENSBTAG00000011802	219	0	1	1	0	NA	196	NA
ENSBTAT00000111108	ENSBTAG00000019269	141	0	0	0	0	NA	NA	NA
ENSBTAT00000025201	ENSBTAG00000018936	53	0	0	0	0	NA	NA	NA
ENSBTAT00000004097	ENSBTAG00000003148	457	0	0	0	0	NA	NA	NA
ENSBTAT00000004104	ENSBTAG00000003161	199	0	1	1	0	NA	113	NA
ENSBTAT00000029328	ENSBTAG00000030670	127	0	0	0	0	NA	NA	NA
ENSBTAT00000066782	ENSBTAG00000011495	246	1	0	1	10	10	116	97
ENSBTAT00000031549	ENSBTAG00000005503	199	1	0	1	35	35	73	18
ENSBTAT00000009259	ENSBTAG00000007039	131	0	0	0	0	NA	NA	NA
ENSBTAT00000006224	ENSBTAG00000004742	221	0	0	0	0	NA	NA	NA
ENSBTAT00000031838	ENSBTAG00000023384	117	0	0	0	0	NA	NA	NA
ENSBTAT00000024873	ENSBTAG00000018688	184	0	0	0	0	NA	NA	NA
ENSBTAT00000154656	ENSBTAG00000011876	41	0	0	0	0	NA	NA	NA
ENSBTAT00000015764	ENSBTAG00000011880	167	0	0	0	0	NA	NA	NA
ENSBTAT00000120155	ENSBTAG00000033679	58	0	0	0	0	NA	NA	NA
ENSBTAT00000104757	ENSBTAG00000008167	199	0	0	0	0	NA	NA	NA
ENSBTAT00000119990	ENSBTAG00000004791	36	0	0	0	0	NA	NA	NA
ENSBTAT00000072702	ENSBTAG00000001771	264	5	0	1	43	16	41	12
ENSBTAT00000074510	ENSBTAG00000009214	108	1	1	1	31	31	4	8
ENSBTAT00000008495	ENSBTAG00000006479	294	0	0	0	0	NA	NA	NA
ENSBTAT00000031822	ENSBTAG00000023377	199	0	0	0	0	NA	NA	NA
ENSBTAT00000079401	ENSBTAG00000023375	281	4	1	1	43	29	83	15
ENSBTAT00000118955	ENSBTAG00000019202	12	0	0	0	0	NA	NA	NA
ENSBTAT00000130471	ENSBTAG00000024815	199	2	0	1	26	25	20	23
ENSBTAT00000097695	ENSBTAG00000004891	477	3	0	1	30	16	343	9
ENSBTAT00000134763	ENSBTAG00000030593	11	0	0	0	0	NA	NA	NA
ENSBTAT00000013117	ENSBTAG00000009942	199	0	0	0	0	NA	NA	NA
ENSBTAT00000043194	ENSBTAG00000030581	97	0	0	0	0	NA	NA	NA
ENSBTAT00000028199	ENSBTAG00000021158	168	1	0	1	5	5	24	126
ENSBTAT00000136322	ENSBTAG00000046385	356	0	0	0	0	NA	NA	NA
ENSBTAT00000075969	ENSBTAG00000000746	199	0	0	0	0	NA	NA	NA
ENSBTAT00000017100	ENSBTAG00000012867	199	0	0	0	0	NA	NA	NA
ENSBTAT00000003764	ENSBTAG00000002896	14	0	0	0	0	NA	NA	NA
ENSBTAT00000135036	ENSBTAG00000016954	57	0	0	0	0	NA	NA	NA
ENSBTAT00000016581	ENSBTAG00000012497	157	0	0	0	0	NA	NA	NA
ENSBTAT00000123914	ENSBTAG00000000767	132	0	1	1	0	NA	103	NA
ENSBTAT00000123194	ENSBTAG00000012804	67	0	0	0	0	NA	NA	NA
ENSBTAT00000017007	ENSBTAG00000012803	65	0	0	0	0	NA	NA	NA
ENSBTAT00000071153	ENSBTAG00000014750	882	3	0	1	42	23	505	66
ENSBTAT00000018745	ENSBTAG00000014099	211	0	0	0	0	NA	NA	NA
ENSBTAT00000116005	ENSBTAG00000014027	199	1	0	1	9	9	40	129
ENSBTAT00000107053	ENSBTAG00000001895	97	0	0	0	0	NA	NA	NA
ENSBTAT00000002468	ENSBTAG00000001898	170	0	0	0	0	NA	NA	NA
ENSBTAT00000011464	ENSBTAG00000008699	191	1	0	1	29	29	22	79
ENSBTAT00000110586	ENSBTAG00000035030	199	1	2	1	12	12	10	150
ENSBTAT00000023186	ENSBTAG00000017442	211	0	0	0	0	NA	NA	NA
ENSBTAT00000127059	ENSBTAG00000051386	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000020753	ENSBTAG00000034998	199	0	0	0	0	NA	NA	NA
ENSBTAT00000049661	ENSBTAG00000035174	63	0	0	0	0	NA	NA	NA
ENSBTAT00000131082	ENSBTAG00000014536	271	2	0	1	5	3	243	16
ENSBTAT00000010315	ENSBTAG00000007840	193	2	0	1	23	21	79	26
ENSBTAT00000116228	ENSBTAG00000000081	111	0	0	0	0	NA	NA	NA
ENSBTAT00000120925	ENSBTAG00000004028	184	1	1	1	21	21	36	82
ENSBTAT00000126283	ENSBTAG00000007114	126	0	0	0	0	NA	NA	NA
ENSBTAT00000094339	ENSBTAG00000000897	205	3	1	1	39	28	15	30
ENSBTAT00000026902	ENSBTAG00000020199	193	0	0	0	0	NA	NA	NA
ENSBTAT00000049319	ENSBTAG00000034848	161	0	0	0	0	NA	NA	NA
ENSBTAT00000049280	ENSBTAG00000034823	355	1	0	1	32	32	212	44
