transcript_id	gene_id	strand	n_exons	n_5UTR_junctions	n_CDS_junctions	n_3UTR_junctions	stop_dist_closest_upstream	stop_dist_closest_downstream	stop_dist_last_downstream	start_dist_closest_upstream	start_dist_closest_downstream
ENSBTAT00000143378	ENSBTAG00000015069	+	6	0	4	1	126	6	6	NA	127
ENSBTAT00000017903	ENSBTAG00000013460	-	11	0	10	0	517	NA	NA	NA	310
ENSBTAT00000130779	ENSBTAG00000013461	-	7	0	6	0	36	NA	NA	NA	5
ENSBTAT00000101506	ENSBTAG00000013464	+	12	0	11	0	59	NA	NA	NA	43
ENSBTAT00000150377	ENSBTAG00000013465	+	9	3	5	0	550	NA	NA	78	93
ENSBTAT00000014591	ENSBTAG00000010987	+	12	0	11	0	53	NA	NA	NA	289
ENSBTAT00000000097	ENSBTAG00000000088	+	16	0	14	1	87	29	29	NA	73
ENSBTAT00000062945	ENSBTAG00000013057	-	20	1	18	0	259	NA	NA	14	168
ENSBTAT00000009058	ENSBTAG00000006893	+	18	3	14	0	87	NA	NA	9	162
ENSBTAT00000131152	ENSBTAG00000003585	-	12	0	11	0	8	NA	NA	NA	46
ENSBTAT00000007606	ENSBTAG00000005787	-	11	0	10	0	178	NA	NA	NA	212
ENSBTAT00000129215	ENSBTAG00000006158	+	34	2	31	0	110	NA	NA	70	32
ENSBTAT00000132201	ENSBTAG00000013769	+	6	0	5	0	580	NA	NA	NA	160
ENSBTAT00000068946	ENSBTAG00000001209	+	21	0	20	0	140	NA	NA	NA	67
ENSBTAT00000006038	ENSBTAG00000004601	+	5	0	4	0	344	NA	NA	NA	214
ENSBTAT00000011976	ENSBTAG00000009084	-	12	0	11	0	81	NA	NA	NA	72
ENSBTAT00000011977	ENSBTAG00000009085	+	7	0	6	0	68	NA	NA	NA	170
ENSBTAT00000118693	ENSBTAG00000005723	-	9	0	8	0	456	NA	NA	NA	253
ENSBTAT00000120788	ENSBTAG00000007784	-	5	0	4	0	177	NA	NA	NA	107
ENSBTAT00000055158	ENSBTAG00000002703	+	16	2	13	0	92	NA	NA	10	85
ENSBTAT00000065613	ENSBTAG00000004971	+	17	2	14	0	80	NA	NA	216	6
ENSBTAT00000047259	ENSBTAG00000001390	-	8	2	5	0	132	NA	NA	139	253
ENSBTAT00000071475	ENSBTAG00000000210	+	12	0	11	0	2429	NA	NA	NA	100
ENSBTAT00000083926	ENSBTAG00000000213	-	10	1	8	0	233	NA	NA	74	113
ENSBTAT00000011287	ENSBTAG00000008562	+	12	0	10	1	156	1826	1826	NA	85
ENSBTAT00000084422	ENSBTAG00000048057	-	13	0	12	0	170	NA	NA	NA	88
ENSBTAT00000047119	ENSBTAG00000033170	-	4	0	3	0	208	NA	NA	NA	500
ENSBTAT00000029891	ENSBTAG00000022155	-	11	0	10	0	44	NA	NA	NA	3
ENSBTAT00000070754	ENSBTAG00000016848	+	6	1	4	0	6	NA	NA	30	448
ENSBTAT00000017379	ENSBTAG00000013069	-	15	2	12	0	229	NA	NA	12	100
ENSBTAT00000111961	ENSBTAG00000013070	+	8	0	7	0	17	NA	NA	NA	106
ENSBTAT00000113503	ENSBTAG00000054326	-	2	1	0	0	1093	NA	NA	101	NA
ENSBTAT00000080763	ENSBTAG00000011143	-	15	1	13	0	187	NA	NA	76	34
ENSBTAT00000029045	ENSBTAG00000021791	-	11	1	9	0	370	NA	NA	65	15
ENSBTAT00000013108	ENSBTAG00000009933	+	5	0	4	0	69	NA	NA	NA	190
ENSBTAT00000022152	ENSBTAG00000016656	+	17	0	16	0	289	NA	NA	NA	193
ENSBTAT00000095463	ENSBTAG00000005066	-	9	0	8	0	518	NA	NA	NA	64
ENSBTAT00000006685	ENSBTAG00000005071	+	9	0	8	0	115	NA	NA	NA	340
ENSBTAT00000106951	ENSBTAG00000018877	+	18	0	17	0	80	NA	NA	NA	186
ENSBTAT00000019691	ENSBTAG00000014797	+	8	2	5	0	200	NA	NA	32	101
ENSBTAT00000032276	ENSBTAG00000023607	-	7	0	6	0	82	NA	NA	NA	365
ENSBTAT00000090379	ENSBTAG00000014567	-	33	1	31	0	250	NA	NA	22	45
ENSBTAT00000109092	ENSBTAG00000000566	-	13	0	12	0	921	NA	NA	NA	174
ENSBTAT00000125275	ENSBTAG00000013727	+	6	0	5	0	313	NA	NA	NA	156
ENSBTAT00000018278	ENSBTAG00000013755	-	15	0	14	0	95	NA	NA	NA	70
ENSBTAT00000146576	ENSBTAG00000021396	-	18	0	17	0	149	NA	NA	NA	274
ENSBTAT00000018208	ENSBTAG00000000496	-	15	1	13	0	162	NA	NA	45	51
ENSBTAT00000070820	ENSBTAG00000050482	-	8	2	5	0	1598	NA	NA	16	333
ENSBTAT00000103845	ENSBTAG00000006471	-	14	0	13	0	65	NA	NA	NA	197
ENSBTAT00000018888	ENSBTAG00000014208	-	4	0	3	0	23	NA	NA	NA	11
ENSBTAT00000023995	ENSBTAG00000018025	+	11	1	9	0	131	NA	NA	59	8
ENSBTAT00000046614	ENSBTAG00000014874	-	10	0	8	1	98	81	81	NA	106
ENSBTAT00000025116	ENSBTAG00000032839	-	21	0	20	0	200	NA	NA	NA	262
ENSBTAT00000002461	ENSBTAG00000001890	+	21	0	20	0	178	NA	NA	NA	65
ENSBTAT00000028482	ENSBTAG00000021364	-	16	0	15	0	6	NA	NA	NA	78
ENSBTAT00000118037	ENSBTAG00000032719	-	19	0	18	0	242	NA	NA	NA	88
ENSBTAT00000022580	ENSBTAG00000016979	-	10	1	8	0	136	NA	NA	10	117
ENSBTAT00000009970	ENSBTAG00000007577	-	11	1	9	0	161	NA	NA	78	70
ENSBTAT00000017712	ENSBTAG00000013317	-	7	1	5	0	959	NA	NA	36	301
ENSBTAT00000050590	ENSBTAG00000006388	+	3	0	2	0	185	NA	NA	NA	303
ENSBTAT00000017558	ENSBTAG00000013192	-	3	1	1	0	361	NA	NA	67	130
ENSBTAT00000108301	ENSBTAG00000048195	+	7	0	6	0	143	NA	NA	NA	112
ENSBTAT00000082239	ENSBTAG00000047856	+	15	1	13	0	86	NA	NA	21	187
ENSBTAT00000080821	ENSBTAG00000032674	+	10	1	8	0	110	NA	NA	31	1510
ENSBTAT00000099835	ENSBTAG00000008873	-	8	3	4	0	71	NA	NA	47	89
ENSBTAT00000067511	ENSBTAG00000020378	-	26	1	24	0	106	NA	NA	33	19
ENSBTAT00000082799	ENSBTAG00000000448	-	7	0	6	0	472	NA	NA	NA	169
ENSBTAT00000101017	ENSBTAG00000006724	+	6	0	5	0	172	NA	NA	NA	122
ENSBTAT00000098057	ENSBTAG00000054986	+	25	0	24	0	100	NA	NA	NA	53
ENSBTAT00000117439	ENSBTAG00000008462	-	6	0	0	5	NA	921	1566	NA	2192
ENSBTAT00000072998	ENSBTAG00000008461	+	14	0	13	0	179	NA	NA	NA	99
ENSBTAT00000032260	ENSBTAG00000002394	+	11	0	10	0	110	NA	NA	NA	155
ENSBTAT00000017579	ENSBTAG00000013204	+	32	0	31	0	197	NA	NA	NA	51
ENSBTAT00000000742	ENSBTAG00000000569	-	4	0	3	0	550	NA	NA	NA	108
ENSBTAT00000082852	ENSBTAG00000019514	-	31	0	29	1	64	8	8	NA	32
ENSBTAT00000075658	ENSBTAG00000006945	-	12	0	11	0	19	NA	NA	NA	49
ENSBTAT00000070445	ENSBTAG00000013205	-	11	0	10	0	367	NA	NA	NA	89
ENSBTAT00000071778	ENSBTAG00000001511	+	10	2	7	0	143	NA	NA	10	161
ENSBTAT00000012565	ENSBTAG00000010357	-	6	1	4	0	247	NA	NA	51	598
ENSBTAT00000019596	ENSBTAG00000014724	-	11	0	10	0	144	NA	NA	NA	29
ENSBTAT00000004094	ENSBTAG00000003151	-	11	0	10	0	64	NA	NA	NA	112
ENSBTAT00000004087	ENSBTAG00000003143	+	8	0	6	1	129	22	22	NA	26
ENSBTAT00000105660	ENSBTAG00000014915	+	13	0	12	0	221	NA	NA	NA	11
ENSBTAT00000149595	ENSBTAG00000001697	+	9	0	8	0	10	NA	NA	NA	36
ENSBTAT00000123291	ENSBTAG00000007666	+	17	0	16	0	92	NA	NA	NA	178
ENSBTAT00000002296	ENSBTAG00000001749	-	17	0	16	0	62	NA	NA	NA	323
ENSBTAT00000148663	ENSBTAG00000017115	+	4	0	3	0	220	NA	NA	NA	378
ENSBTAT00000089657	ENSBTAG00000019625	+	7	0	6	0	1261	NA	NA	NA	74
ENSBTAT00000025309	ENSBTAG00000019014	+	2	0	0	1	NA	881	881	NA	1804
ENSBTAT00000120222	ENSBTAG00000005313	-	15	0	14	0	108	NA	NA	NA	115
ENSBTAT00000032213	ENSBTAG00000012881	-	34	2	31	0	184	NA	NA	34	60
ENSBTAT00000007436	ENSBTAG00000005660	-	21	0	20	0	182	NA	NA	NA	135
ENSBTAT00000009087	ENSBTAG00000006920	-	20	0	19	0	158	NA	NA	NA	73
ENSBTAT00000016526	ENSBTAG00000020106	-	12	0	11	0	134	NA	NA	NA	74
ENSBTAT00000112547	ENSBTAG00000019336	-	15	0	14	0	436	NA	NA	NA	161
ENSBTAT00000015168	ENSBTAG00000011414	-	16	0	15	0	59	NA	NA	NA	216
ENSBTAT00000023496	ENSBTAG00000017666	+	30	1	28	0	101	NA	NA	48	129
ENSBTAT00000019219	ENSBTAG00000014451	-	31	1	29	0	108	NA	NA	18	100
ENSBTAT00000023192	ENSBTAG00000017450	-	8	2	5	0	200	NA	NA	61	920
ENSBTAT00000008604	ENSBTAG00000006548	+	20	0	19	0	128	NA	NA	NA	89
ENSBTAT00000083735	ENSBTAG00000012797	+	7	0	6	0	79	NA	NA	NA	48
ENSBTAT00000084243	ENSBTAG00000000290	-	31	1	29	0	81	NA	NA	124	27
ENSBTAT00000032097	ENSBTAG00000023513	+	6	0	5	0	70	NA	NA	NA	3
ENSBTAT00000002554	ENSBTAG00000001968	-	12	0	11	0	915	NA	NA	NA	161
ENSBTAT00000061390	ENSBTAG00000005946	-	21	0	20	0	93	NA	NA	NA	168
ENSBTAT00000105321	ENSBTAG00000002460	-	14	0	13	0	80	NA	NA	NA	136
ENSBTAT00000146290	ENSBTAG00000002767	+	11	1	8	1	106	94	94	40	57
ENSBTAT00000013860	ENSBTAG00000010485	-	18	1	16	0	81	NA	NA	4	112
ENSBTAT00000111881	ENSBTAG00000037393	-	7	3	3	0	1153	NA	NA	11	58
ENSBTAT00000072391	ENSBTAG00000009232	-	23	3	19	0	270	NA	NA	76	352
ENSBTAT00000146066	ENSBTAG00000073599	+	6	1	4	0	208	NA	NA	57	270
ENSBTAT00000087441	ENSBTAG00000021910	+	16	2	13	0	26	NA	NA	80	37
ENSBTAT00000032677	ENSBTAG00000023814	-	26	1	24	0	89	NA	NA	18	68
ENSBTAT00000144004	ENSBTAG00000020073	+	5	0	4	0	617	NA	NA	NA	138
ENSBTAT00000152633	ENSBTAG00000057675	+	8	0	7	0	451	NA	NA	NA	39
ENSBTAT00000025816	ENSBTAG00000019376	-	26	1	24	0	311	NA	NA	28	111
ENSBTAT00000076794	ENSBTAG00000017490	+	27	1	25	0	224	NA	NA	31	160
ENSBTAT00000136631	ENSBTAG00000010550	+	6	1	4	0	59	NA	NA	2	127
ENSBTAT00000005438	ENSBTAG00000004154	-	7	0	6	0	158	NA	NA	NA	90
ENSBTAT00000061563	ENSBTAG00000001403	-	18	0	17	0	87	NA	NA	NA	101
ENSBTAT00000092038	ENSBTAG00000013142	-	9	2	6	0	262	NA	NA	31	266
ENSBTAT00000024928	ENSBTAG00000018727	+	16	0	15	0	149	NA	NA	NA	187
ENSBTAT00000016890	ENSBTAG00000012708	-	9	1	7	0	76	NA	NA	18	250
ENSBTAT00000076471	ENSBTAG00000031709	+	9	2	6	0	81	NA	NA	115	96
ENSBTAT00000116795	ENSBTAG00000016228	-	16	0	15	0	130	NA	NA	NA	57
ENSBTAT00000092025	ENSBTAG00000001274	-	4	0	3	0	346	NA	NA	NA	399
ENSBTAT00000095452	ENSBTAG00000017416	+	18	0	17	0	98	NA	NA	NA	69
ENSBTAT00000132628	ENSBTAG00000058033	+	3	2	0	0	1211	NA	NA	3	NA
ENSBTAT00000108062	ENSBTAG00000031572	+	19	0	18	0	110	NA	NA	NA	55
ENSBTAT00000135413	ENSBTAG00000027795	-	18	0	17	0	131	NA	NA	NA	108
ENSBTAT00000104232	ENSBTAG00000009336	+	6	0	5	0	68	NA	NA	NA	129
ENSBTAT00000074635	ENSBTAG00000004126	-	8	0	7	0	105	NA	NA	NA	47
ENSBTAT00000044707	ENSBTAG00000031561	-	10	1	8	0	92	NA	NA	2	194
ENSBTAT00000044731	ENSBTAG00000005230	+	6	0	5	0	293	NA	NA	NA	331
ENSBTAT00000005025	ENSBTAG00000003851	+	11	0	10	0	348	NA	NA	NA	303
ENSBTAT00000016071	ENSBTAG00000012120	-	6	1	4	0	447	NA	NA	39	914
ENSBTAT00000140019	ENSBTAG00000076513	+	9	0	6	2	66	1191	3187	NA	133
ENSBTAT00000084984	ENSBTAG00000013013	-	17	0	16	0	101	NA	NA	NA	27
ENSBTAT00000002681	ENSBTAG00000002075	-	23	1	21	0	99	NA	NA	10	160
ENSBTAT00000100836	ENSBTAG00000006142	+	25	0	24	0	185	NA	NA	NA	252
ENSBTAT00000100582	ENSBTAG00000001465	-	2	0	0	1	NA	4884	4884	NA	6005
ENSBTAT00000069762	ENSBTAG00000004564	-	11	0	9	1	56	19	19	NA	174
ENSBTAT00000044404	ENSBTAG00000023445	+	2	0	1	0	557	NA	NA	NA	441
ENSBTAT00000148942	ENSBTAG00000031435	-	6	0	4	1	124	30	30	NA	137
ENSBTAT00000105381	ENSBTAG00000009104	+	3	0	2	0	35	NA	NA	NA	84
ENSBTAT00000024485	ENSBTAG00000018402	-	4	0	3	0	260	NA	NA	NA	1943
ENSBTAT00000014805	ENSBTAG00000011150	+	4	0	3	0	156	NA	NA	NA	132
ENSBTAT00000014803	ENSBTAG00000011147	-	10	1	8	0	361	NA	NA	16	114
ENSBTAT00000123126	ENSBTAG00000005068	+	6	0	5	0	24	NA	NA	NA	67
ENSBTAT00000010277	ENSBTAG00000007814	+	7	0	6	0	184	NA	NA	NA	33
ENSBTAT00000113254	ENSBTAG00000015163	+	6	0	5	0	14	NA	NA	NA	41
ENSBTAT00000003112	ENSBTAG00000002395	-	17	0	16	0	127	NA	NA	NA	217
ENSBTAT00000129406	ENSBTAG00000019704	+	25	0	24	0	152	NA	NA	NA	20
ENSBTAT00000075393	ENSBTAG00000001721	-	7	0	6	0	173	NA	NA	NA	187
ENSBTAT00000110973	ENSBTAG00000022227	+	8	0	7	0	35	NA	NA	NA	19
ENSBTAT00000083481	ENSBTAG00000011986	+	9	1	7	0	56	NA	NA	21	7
ENSBTAT00000031949	ENSBTAG00000007331	+	20	0	19	0	155	NA	NA	NA	121
ENSBTAT00000010430	ENSBTAG00000007933	-	3	0	2	0	331	NA	NA	NA	657
ENSBTAT00000072060	ENSBTAG00000031178	+	16	0	15	0	215	NA	NA	NA	175
ENSBTAT00000088655	ENSBTAG00000009154	-	28	0	27	0	138	NA	NA	NA	45
ENSBTAT00000021330	ENSBTAG00000016026	+	10	0	9	0	33	NA	NA	NA	83
ENSBTAT00000002887	ENSBTAG00000002232	-	13	0	12	0	227	NA	NA	NA	478
ENSBTAT00000093517	ENSBTAG00000011524	+	43	0	42	0	299	NA	NA	NA	75
ENSBTAT00000096969	ENSBTAG00000018138	+	17	0	16	0	145	NA	NA	NA	147
ENSBTAT00000008169	ENSBTAG00000006222	+	12	0	11	0	183	NA	NA	NA	48
ENSBTAT00000018795	ENSBTAG00000014140	-	7	0	6	0	170	NA	NA	NA	109
ENSBTAT00000044150	ENSBTAG00000015413	-	24	0	23	0	27	NA	NA	NA	133
ENSBTAT00000124188	ENSBTAG00000040061	-	5	3	0	0	3614	NA	NA	0	NA
ENSBTAT00000081879	ENSBTAG00000050763	-	6	1	4	0	937	NA	NA	53	79
ENSBTAT00000020353	ENSBTAG00000015310	-	7	0	6	0	193	NA	NA	NA	41
ENSBTAT00000115958	ENSBTAG00000020028	+	6	0	5	0	53	NA	NA	NA	73
ENSBTAT00000090923	ENSBTAG00000014843	+	22	0	21	0	95	NA	NA	NA	3
ENSBTAT00000009083	ENSBTAG00000006909	+	25	3	21	0	137	NA	NA	16	171
ENSBTAT00000132762	ENSBTAG00000023426	-	5	0	4	0	149	NA	NA	NA	113
ENSBTAT00000096413	ENSBTAG00000018538	+	20	2	17	0	61	NA	NA	5	25
ENSBTAT00000052818	ENSBTAG00000001497	-	6	1	4	0	99	NA	NA	18	193
ENSBTAT00000070490	ENSBTAG00000019952	-	23	0	22	0	33	NA	NA	NA	45
ENSBTAT00000026574	ENSBTAG00000019949	+	8	0	7	0	693	NA	NA	NA	197
ENSBTAT00000128659	ENSBTAG00000015198	+	19	2	16	0	161	NA	NA	81	501
ENSBTAT00000024518	ENSBTAG00000018427	-	4	1	2	0	194	NA	NA	18	226
ENSBTAT00000110879	ENSBTAG00000035437	+	35	2	32	0	23	NA	NA	83	29
ENSBTAT00000074470	ENSBTAG00000015221	-	16	0	15	0	47	NA	NA	NA	183
ENSBTAT00000000991	ENSBTAG00000000750	+	2	0	1	0	1591	NA	NA	NA	142
ENSBTAT00000069850	ENSBTAG00000023416	-	13	0	12	0	126	NA	NA	NA	1992
ENSBTAT00000009235	ENSBTAG00000007014	-	15	1	13	0	158	NA	NA	25	44
ENSBTAT00000077451	ENSBTAG00000000742	+	10	1	8	0	58	NA	NA	61	737
ENSBTAT00000022607	ENSBTAG00000016999	+	14	0	13	0	111	NA	NA	NA	229
ENSBTAT00000001747	ENSBTAG00000001324	+	14	0	13	0	120	NA	NA	NA	96
ENSBTAT00000001199	ENSBTAG00000000905	+	8	0	7	0	64	NA	NA	NA	70
ENSBTAT00000106872	ENSBTAG00000044075	-	8	0	7	0	213	NA	NA	NA	229
ENSBTAT00000084226	ENSBTAG00000000526	+	29	1	27	0	143	NA	NA	7	84
ENSBTAT00000023484	ENSBTAG00000035556	-	5	0	4	0	150	NA	NA	NA	240
ENSBTAT00000005894	ENSBTAG00000004495	-	12	0	11	0	83	NA	NA	NA	161
ENSBTAT00000133182	ENSBTAG00000002966	-	57	1	55	0	106	NA	NA	13	68
ENSBTAT00000067478	ENSBTAG00000030942	+	10	0	9	0	182	NA	NA	NA	92
ENSBTAT00000115351	ENSBTAG00000009258	-	19	1	17	0	222	NA	NA	112	170
ENSBTAT00000068941	ENSBTAG00000007462	+	5	1	3	0	327	NA	NA	12	1311
ENSBTAT00000114603	ENSBTAG00000011626	-	27	0	26	0	130	NA	NA	NA	108
ENSBTAT00000018087	ENSBTAG00000013602	-	42	0	41	0	391	NA	NA	NA	49
ENSBTAT00000136000	ENSBTAG00000018768	-	7	0	6	0	47	NA	NA	NA	47
ENSBTAT00000018116	ENSBTAG00000013629	+	5	0	4	0	73	NA	NA	NA	309
ENSBTAT00000000507	ENSBTAG00000000394	+	8	0	7	0	253	NA	NA	NA	734
ENSBTAT00000012035	ENSBTAG00000030913	+	16	3	12	0	230	NA	NA	105	81
ENSBTAT00000028324	ENSBTAG00000021253	-	24	0	23	0	476	NA	NA	NA	357
ENSBTAT00000093461	ENSBTAG00000021259	-	15	0	14	0	220	NA	NA	NA	273
ENSBTAT00000096215	ENSBTAG00000030836	-	2	0	1	0	3155	NA	NA	NA	45
ENSBTAT00000028342	ENSBTAG00000066612	+	15	0	14	0	228	NA	NA	NA	42
ENSBTAT00000078051	ENSBTAG00000021286	+	21	2	18	0	15	NA	NA	133	56
ENSBTAT00000029195	ENSBTAG00000021899	+	19	0	18	0	10	NA	NA	NA	324
ENSBTAT00000077373	ENSBTAG00000021491	+	3	0	2	0	160	NA	NA	NA	280
ENSBTAT00000018809	ENSBTAG00000014153	+	12	2	9	0	211	NA	NA	56	51
ENSBTAT00000023157	ENSBTAG00000017418	+	16	0	15	0	193	NA	NA	NA	130
ENSBTAT00000149796	ENSBTAG00000074909	+	11	0	10	0	19	NA	NA	NA	87
ENSBTAT00000070390	ENSBTAG00000003981	+	13	0	12	0	232	NA	NA	NA	133
ENSBTAT00000027260	ENSBTAG00000020456	+	8	0	7	0	88	NA	NA	NA	178
ENSBTAT00000087207	ENSBTAG00000007100	+	23	0	22	0	238	NA	NA	NA	67
ENSBTAT00000056305	ENSBTAG00000010658	+	22	0	21	0	147	NA	NA	NA	85
ENSBTAT00000118633	ENSBTAG00000060080	+	2	1	0	0	918	NA	NA	136	NA
ENSBTAT00000063929	ENSBTAG00000048090	-	6	0	5	0	317	NA	NA	NA	43
ENSBTAT00000114174	ENSBTAG00000017321	-	5	0	4	0	20	NA	NA	NA	21
ENSBTAT00000029020	ENSBTAG00000021771	-	6	0	5	0	46	NA	NA	NA	100
ENSBTAT00000102649	ENSBTAG00000017486	+	12	1	10	0	179	NA	NA	92	2
ENSBTAT00000043357	ENSBTAG00000024162	-	9	3	5	0	220	NA	NA	5	213
ENSBTAT00000015668	ENSBTAG00000011802	+	35	0	34	0	622	NA	NA	NA	97
ENSBTAT00000111108	ENSBTAG00000019269	+	28	1	26	0	598	NA	NA	1	139
ENSBTAT00000025201	ENSBTAG00000018936	-	22	0	21	0	131	NA	NA	NA	14
ENSBTAT00000004097	ENSBTAG00000003148	-	29	1	27	0	158	NA	NA	107	1213
ENSBTAT00000004104	ENSBTAG00000003161	+	5	0	3	1	86	6	6	NA	873
ENSBTAT00000029328	ENSBTAG00000030670	+	47	0	46	0	43	NA	NA	NA	57
ENSBTAT00000066782	ENSBTAG00000011495	+	39	0	38	0	252	NA	NA	NA	91
ENSBTAT00000031549	ENSBTAG00000005503	+	10	0	9	0	249	NA	NA	NA	257
ENSBTAT00000009259	ENSBTAG00000007039	+	11	1	9	0	89	NA	NA	7	134
ENSBTAT00000006224	ENSBTAG00000004742	-	9	1	7	0	475	NA	NA	59	58
ENSBTAT00000031838	ENSBTAG00000023384	+	4	0	3	0	23	NA	NA	NA	289
ENSBTAT00000024873	ENSBTAG00000018688	+	3	0	2	0	436	NA	NA	NA	289
ENSBTAT00000154656	ENSBTAG00000011876	+	17	0	16	0	153	NA	NA	NA	39
ENSBTAT00000015764	ENSBTAG00000011880	+	14	1	12	0	100	NA	NA	89	126
ENSBTAT00000120155	ENSBTAG00000033679	-	11	0	10	0	171	NA	NA	NA	195
ENSBTAT00000104757	ENSBTAG00000008167	+	46	0	45	0	74	NA	NA	NA	292
ENSBTAT00000119990	ENSBTAG00000004791	-	8	0	7	0	139	NA	NA	NA	57
ENSBTAT00000072702	ENSBTAG00000001771	+	12	1	10	0	620	NA	NA	160	4
ENSBTAT00000074510	ENSBTAG00000009214	+	10	0	9	0	215	NA	NA	NA	3
ENSBTAT00000008495	ENSBTAG00000006479	+	21	0	20	0	144	NA	NA	NA	102
ENSBTAT00000031822	ENSBTAG00000023377	-	9	0	8	0	199	NA	NA	NA	144
ENSBTAT00000079401	ENSBTAG00000023375	-	7	1	5	0	181	NA	NA	157	225
ENSBTAT00000118955	ENSBTAG00000019202	+	7	0	6	0	46	NA	NA	NA	373
